	MG1655-1	23BD2-4_1	23BD4-3_1	23BD6-1_1	23BD7-4_1	metJ-1	relA-1	purT-1	MG1655-2	23BD2-4_2	23BD4-3_2	23BD6-1_2	23BD7-4_2	metJ-2	relA-2	purT-2	MG1655-3	23BD2-4_3	23BD4-3_3	23BD6-1_3	23BD7-4_3	metJ-3	relA-3	purT-3	fabR-1	clsA-1	yfgF-1	treA-1	acrB-1	metJ-lg-1	metJ-sm-1	fabR-2	clsA-2	yfgF-2	treA-2	acrB-2	metJ-lg-2	metJ-sm-2	fabR-3	clsA-3	yfgF-3	treA-3	acrB-3	metJ-lg-3	metJ-sm-3
24.17318	0.902	50.22	27.589	33.206	45.482	10.948	1.209	2.475	0.698	51.407	28.722	34.996	44.415	10.978	1.312	1.143	0.685	48.082	27.997	38.87	44.541	9.798	1.04	2.436	0.75	0.732	1.64	1.389	1.902	4.064	7.134	0.833	0.633	1.023	1.192	1.424	3.092	5.965	0.811	0.876	1.158	0.817	1.304	2.663	5.092
24.33986	1.064	50.61	27.735	33.862	45.3	10.388	1.201	2.524	0.71	52.02	29.008	34.476	44.721	11.561	1.325	1.19	0.583	49.099	27.884	36.748	43.617	9.696	0.827	1.935	0.651	0.721	1.771	1.264	1.804	4.049	6.915	0.88	0.536	1.04	1.181	1.241	3.249	6.409	0.628	0.689	1.061	0.805	1.063	2.794	5.05
24.50653	0.967	50.074	28.294	33.771	46.167	10.844	1.128	2.394	0.738	51.839	28.254	34.903	44.813	10.99	1.179	0.978	0.782	49.571	28.33	36.887	44.366	10.066	1.106	2.131	0.702	0.797	1.734	1.282	1.824	4.303	6.889	0.84	0.554	0.887	1.2	1.603	3.159	6.404	0.676	0.972	1.079	0.653	1.14	2.929	5.101
24.67327	1.009	50.584	28.759	33.441	45.102	10.923	1.023	2.606	0.674	51.585	28.808	34.517	43.66	10.726	1.343	1.135	0.69	49.571	28.711	37.36	44.473	10.318	0.866	2.15	0.633	0.812	1.665	1.324	1.839	4.179	7.258	0.768	0.683	0.902	1.1	1.418	3.264	6.538	0.662	0.791	1.037	0.67	1.27	2.831	5.204
24.83988	1.03	51.093	29.099	33.762	45.668	10.725	1.153	2.45	0.937	51.676	29.124	35.559	43.735	11.22	1.23	1.013	0.751	50.862	28.249	37.166	44.089	9.317	0.921	2.265	0.717	0.749	1.862	1.432	1.776	4.036	7.296	0.962	0.676	1.068	1.152	1.555	3.409	6.567	0.973	0.936	1.116	0.694	1.179	2.769	5.145
25.00665	1.123	50.918	29.232	33.985	46.125	11.138	1.129	2.656	0.948	52.655	28.885	35.638	44.651	11.519	1.298	1.106	1.021	50.691	28.555	37.101	43.425	10.361	0.987	2.332	0.84	0.699	1.927	1.496	1.87	4.132	7.194	1.027	0.511	1.019	1.159	1.533	3.505	6.893	0.866	0.602	1.152	0.789	1.531	2.863	5.24
25.17326	1.142	50.86	29.449	34.183	45.636	11.251	1.188	2.683	0.801	52.055	29.066	35.344	43.279	11.11	1.327	0.982	0.788	51.419	28.798	37.155	44.751	9.9	0.853	2.135	0.763	0.715	1.824	1.314	1.971	4.079	7.755	0.901	0.5	0.977	1.089	1.493	3.45	6.753	0.651	0.948	0.911	0.801	1.086	2.675	5.191
25.33997	1.006	51.603	29.754	34.749	46.207	10.803	1.136	2.546	0.812	52.429	29.228	35.481	44.278	11.036	1.366	1.132	0.713	51.362	29.332	37.578	43.887	10.054	1.12	2.288	0.686	0.837	1.718	1.464	2.007	4.318	7.223	0.851	0.651	0.956	1.097	1.5	3.374	6.677	0.687	0.7	1.119	0.723	1.237	2.827	5.945
25.50656	0.991	51.312	29.79	34.304	45.342	10.537	1.088	2.786	0.949	53.208	29.21	35.411	44.185	11.317	1.043	1.175	0.649	52.282	29.341	37.822	45.171	10.104	1.051	2.308	0.876	0.824	1.677	1.479	1.937	4.337	7.363	1.037	0.579	1.0	1.226	1.515	3.738	6.61	0.76	0.921	1.191	0.825	1.282	2.958	5.648
25.67335	1.05	52.16	29.645	34.735	46.678	10.911	1.077	2.742	0.831	52.616	28.969	35.491	46.271	11.481	1.191	1.032	0.733	51.472	28.935	37.449	45.226	9.989	0.981	2.173	0.748	0.763	1.84	1.279	1.875	4.087	7.52	0.865	0.55	1.111	1.166	1.541	3.658	6.876	0.641	0.927	1.075	0.846	1.048	2.864	5.404
25.84004	1.138	51.077	30.156	34.659	45.623	10.844	1.271	2.623	0.738	52.899	30.374	35.333	45.071	10.99	1.236	1.121	0.696	52.006	29.476	37.889	43.879	10.496	1.049	2.302	0.845	0.797	1.82	1.396	2.167	4.475	7.548	0.812	0.583	0.887	1.171	1.403	3.416	7.035	0.991	0.943	1.022	0.825	1.312	2.986	5.616
26.00669	0.985	51.209	30.587	34.627	46.357	11.115	1.006	2.587	0.778	53.654	29.084	35.3	45.462	11.43	1.307	1.053	0.852	52.649	29.334	37.857	44.328	10.279	1.036	2.345	0.832	0.872	1.779	1.386	1.783	4.574	7.873	0.973	0.572	1.105	1.16	1.592	3.86	7.163	0.55	0.957	1.068	0.784	1.071	2.888	5.689
26.17337	1.008	51.464	30.841	34.875	46.297	11.023	1.158	2.57	0.776	53.344	30.206	35.84	45.857	11.318	1.326	1.078	0.82	52.787	29.589	38.106	45.148	10.448	1.016	2.332	0.811	0.929	1.87	1.439	1.956	4.391	7.883	1.056	0.798	1.105	1.073	1.447	3.763	6.893	0.693	1.291	1.123	0.846	1.215	3.122	5.413
26.33996	1.03	51.868	30.621	34.825	46.127	10.754	1.325	2.651	0.765	53.169	31.076	35.875	44.654	11.306	1.287	1.013	0.809	52.327	30.173	37.596	44.721	10.379	1.064	2.236	0.803	0.921	2.005	1.317	2.035	4.524	7.554	1.048	0.676	0.982	1.295	1.555	3.495	6.797	0.6	0.994	1.461	0.866	1.179	2.884	5.662
26.50662	0.944	51.897	31.425	35.112	45.668	11.271	1.038	2.88	1.08	53.227	29.842	35.788	45.171	11.565	1.201	1.099	0.665	53.044	30.201	38.372	44.864	10.379	1.093	2.236	0.803	0.835	2.034	1.317	2.035	4.553	7.698	0.876	0.504	1.155	1.066	1.44	3.495	6.883	0.6	0.678	1.145	0.866	1.207	3.056	5.375
26.6734	1.046	51.938	30.682	35.239	45.568	11.034	1.18	2.589	0.813	53.383	30.927	35.969	45.99	11.608	1.255	1.114	0.743	53.236	29.973	37.696	45.4	10.142	1.098	2.465	0.865	0.818	1.898	1.275	1.988	4.551	7.621	0.89	0.547	1.109	1.278	1.567	3.779	6.996	0.725	0.847	1.072	0.903	1.132	3.064	5.435
26.83999	1.084	52.085	31.76	35.388	45.741	11.38	1.15	2.791	1.132	53.498	29.832	36.093	45.502	11.473	1.225	1.182	1.004	53.546	31.024	38.447	46.0	9.943	1.146	2.318	0.798	0.774	1.685	1.342	1.859	4.634	7.864	1.016	0.615	1.093	1.234	1.608	3.834	7.079	0.854	0.902	1.198	0.776	1.289	3.109	5.629
27.00671	0.93	51.758	31.502	35.355	45.271	11.249	1.229	2.726	0.771	53.738	30.95	35.944	45.062	11.455	1.21	1.401	0.815	53.673	30.565	38.127	46.133	10.529	0.989	2.389	0.785	0.82	1.816	1.332	2.162	4.906	7.873	1.005	0.575	1.053	1.108	1.511	3.877	7.466	0.67	0.715	1.13	0.678	1.106	2.667	5.787
27.17337	1.122	52.548	31.692	35.048	46.058	11.325	1.178	2.764	0.677	53.872	31.293	36.188	45.559	11.308	1.339	1.048	0.95	53.8	30.786	38.28	46.026	10.003	1.022	2.314	0.847	0.96	1.903	1.467	2.045	4.862	8.251	1.085	0.712	0.934	1.247	1.506	3.89	7.105	0.84	1.13	1.354	0.908	1.218	3.069	5.794
27.33997	1.138	52.394	31.846	35.089	46.253	11.675	1.071	2.709	0.824	54.159	30.546	36.479	44.326	11.018	1.15	1.15	0.868	53.839	30.594	38.548	46.486	10.41	0.963	2.216	0.931	0.912	1.963	1.368	2.081	4.647	7.806	1.069	0.64	0.973	1.372	1.517	4.018	7.178	0.676	0.714	1.079	0.797	1.054	3.301	5.702
27.50679	1.171	52.494	32.171	35.444	46.811	11.594	1.216	2.769	0.887	53.516	30.728	36.404	45.886	11.368	1.27	0.982	0.874	53.711	31.119	38.645	45.725	10.731	1.025	2.307	0.964	0.744	1.71	1.314	1.913	4.852	8.357	0.987	0.643	0.948	1.032	1.435	3.88	7.699	0.766	0.719	0.997	0.829	1.344	3.191	5.879
27.67348	1.019	52.574	32.2	35.423	46.346	11.713	1.145	2.729	0.863	53.926	31.649	36.644	46.022	11.289	1.358	1.175	0.706	54.147	30.833	38.683	45.802	10.506	1.051	2.25	0.962	0.91	1.82	1.479	2.367	4.682	8.224	1.009	0.579	1.172	1.198	1.457	3.796	7.471	0.588	1.351	1.105	0.768	1.339	2.929	5.878
27.84015	1.012	53.115	32.373	35.862	46.569	11.143	1.161	2.659	0.81	54.336	31.078	36.569	44.98	11.41	1.303	1.081	0.825	54.153	31.235	38.922	46.568	10.539	0.934	2.452	0.816	0.933	1.788	1.414	2.19	5.114	8.292	1.059	0.687	0.994	1.048	1.652	4.113	7.501	0.87	1.037	1.328	0.793	1.276	3.212	5.647
28.0068	1.167	52.738	32.047	35.462	47.027	11.532	1.271	2.709	0.996	54.503	31.319	37.052	45.243	11.419	1.265	1.15	0.839	54.269	31.109	39.121	45.712	10.639	0.935	2.188	0.759	0.912	1.963	1.396	2.139	4.847	8.092	0.897	0.926	1.059	1.257	1.747	3.961	7.722	0.762	1.029	1.165	0.711	1.397	3.674	5.931
28.17341	1.111	53.088	32.6	35.66	47.035	11.431	1.165	2.773	0.951	54.033	31.067	36.703	46.084	12.087	1.224	1.122	0.91	53.804	31.461	38.975	46.297	10.853	1.071	2.264	0.753	0.881	1.759	1.368	2.05	4.979	7.955	1.069	0.811	1.115	1.227	1.459	3.806	7.395	0.788	1.103	1.136	0.85	1.366	3.44	5.98
28.34018	1.157	53.07	32.648	35.601	46.357	11.487	1.178	2.787	0.893	54.685	31.403	36.731	46.808	11.974	1.422	1.139	0.68	54.309	31.367	39.031	46.619	10.909	1.007	2.46	0.918	0.958	2.037	1.472	2.156	4.918	8.359	1.173	0.715	1.191	1.503	1.592	3.917	7.506	0.893	1.186	1.326	0.956	1.328	3.174	5.946
28.50675	1.053	53.26	33.143	36.09	46.234	11.174	1.28	2.83	0.979	54.605	31.696	36.932	46.113	12.087	1.281	1.122	0.91	54.147	31.747	39.118	45.982	10.366	1.071	2.407	0.838	0.853	1.93	1.368	2.05	4.836	8.127	1.04	0.611	0.915	1.227	1.574	4.092	7.338	0.731	1.161	1.222	0.792	1.366	3.297	5.895
28.67348	1.009	52.706	33.261	35.505	45.761	11.41	1.109	3.093	0.932	54.309	31.79	36.926	45.839	12.016	1.171	1.221	0.862	54.588	31.607	39.195	46.566	11.063	1.067	2.379	0.776	0.841	1.894	1.296	2.183	4.953	8.806	1.113	0.855	1.046	1.358	1.618	4.038	7.828	0.863	0.906	1.266	0.813	1.528	3.117	6.065
28.84016	1.149	52.951	33.566	35.924	47.468	11.892	1.193	2.861	0.898	54.264	32.869	37.086	46.428	12.01	1.252	1.161	1.114	54.401	31.941	39.413	46.095	11.057	1.062	2.46	0.686	0.809	1.89	1.493	2.093	5.235	8.456	1.023	0.823	0.985	1.269	1.414	3.976	7.221	0.687	0.958	1.348	0.924	1.18	3.257	5.888
29.00694	1.583	53.146	33.209	36.288	47.317	11.138	1.141	2.931	0.865	54.662	32.527	37.086	46.873	11.845	1.236	1.134	0.937	54.988	32.102	39.723	46.158	10.795	1.057	2.583	0.824	1.019	2.081	1.381	2.164	5.191	8.188	1.085	0.741	1.137	1.134	1.449	4.017	7.491	0.929	0.825	1.471	0.855	1.278	3.217	5.889
29.17347	1.037	53.274	33.426	36.139	46.469	12.172	1.158	2.742	0.805	54.493	32.935	37.678	46.719	11.749	1.212	1.106	0.82	54.654	32.461	39.6	46.555	10.993	1.159	2.418	0.811	1.015	1.927	1.439	2.359	4.937	8.716	1.027	0.769	1.019	1.389	1.533	3.85	7.869	0.722	1.119	1.066	0.76	1.272	3.064	6.159
29.3402	1.267	53.222	33.691	35.964	46.306	11.783	1.081	2.778	0.846	54.567	32.077	37.327	46.097	11.816	1.199	1.221	0.804	54.531	32.553	39.854	45.993	10.776	1.21	2.408	0.948	0.898	2.009	1.41	2.097	5.125	8.29	1.113	0.683	0.988	1.129	1.676	4.038	7.628	0.835	1.221	1.123	0.813	1.356	3.347	5.864
29.50693	1.064	53.301	34.203	36.008	47.418	11.848	1.259	2.667	0.71	54.767	32.585	37.309	47.211	12.277	1.24	1.104	0.812	55.08	32.377	39.953	47.566	10.898	1.17	2.421	0.909	0.893	1.943	1.436	2.062	5.022	8.604	1.051	0.822	0.954	1.353	1.585	4.021	7.611	0.742	1.119	1.347	0.805	1.321	3.08	6.08
29.67352	1.15	53.644	34.031	36.18	46.788	11.562	1.259	2.867	0.996	55.225	32.7	37.338	47.182	12.391	1.325	1.275	0.841	54.565	33.064	39.581	46.364	11.012	1.17	2.364	0.851	0.979	1.943	1.464	2.319	5.108	8.661	0.994	0.736	1.098	1.41	1.585	3.993	8.011	1.229	1.004	1.347	0.776	1.206	3.567	5.765
29.84022	1.328	53.585	34.28	36.402	46.844	12.002	1.292	2.787	1.236	55.086	32.864	37.791	46.321	11.717	1.393	1.54	0.852	55.454	32.941	40.262	47.249	10.795	1.122	2.431	0.86	1.044	1.722	1.443	2.241	5.519	8.245	1.001	0.658	1.105	1.189	1.564	3.917	7.965	0.836	1.014	1.326	0.727	1.3	3.06	6.004
30.00689	1.211	53.291	34.533	36.817	47.439	12.152	1.241	2.905	0.957	55.085	33.17	37.686	47.261	11.72	1.175	1.193	0.973	55.315	33.537	40.16	45.931	10.745	1.14	2.33	0.821	0.866	1.914	1.325	2.177	5.13	8.358	0.969	0.683	1.071	1.297	1.959	4.072	7.89	0.858	0.883	1.035	0.862	1.35	3.366	5.99
30.17357	1.318	54.145	34.107	36.655	46.89	11.642	1.428	2.779	0.962	55.181	33.176	37.842	47.569	12.471	1.32	1.272	0.921	55.837	33.34	40.371	46.923	10.778	1.08	2.331	0.99	1.061	2.024	1.461	2.115	5.361	8.168	1.133	0.79	1.037	1.263	1.581	4.445	8.035	0.71	1.028	1.172	1.058	1.317	3.391	5.818
30.34031	1.217	53.628	34.634	36.7	47.372	11.95	1.352	2.876	0.956	55.159	33.59	38.06	46.993	12.41	1.513	1.143	0.857	55.47	33.81	40.331	47.434	10.829	1.269	2.264	0.75	0.99	2.041	1.446	2.217	5.524	8.709	1.091	0.719	1.023	1.421	1.682	4.437	7.855	0.754	0.962	1.358	0.96	1.304	3.179	6.323
30.50691	1.035	53.558	34.947	36.981	46.102	12.449	1.259	2.867	1.082	55.197	33.186	38.282	46.438	12.134	1.297	1.304	0.841	56.11	33.522	40.726	47.022	10.469	1.027	2.421	0.851	0.893	2.029	1.35	2.377	5.251	8.833	1.051	0.651	1.04	1.324	1.642	4.422	7.668	0.828	1.004	0.975	0.719	1.235	3.481	5.937
30.67357	1.225	54.118	35.174	36.89	46.749	11.831	1.108	2.916	1.037	55.606	33.784	38.276	46.284	12.116	1.31	1.179	0.967	55.548	33.549	40.463	46.754	10.881	1.014	2.321	0.838	1.024	1.873	1.54	2.307	5.236	8.756	1.126	0.783	1.029	1.341	1.488	4.092	8.683	0.959	1.018	1.079	0.792	1.28	3.354	6.209
30.84025	1.186	53.934	34.858	37.0	46.966	12.044	1.186	3.051	1.048	55.93	33.609	38.212	47.56	12.441	1.466	1.168	0.893	55.845	33.919	40.571	46.973	10.893	1.23	2.592	0.911	1.042	1.946	1.329	2.353	5.507	9.079	1.058	0.6	1.075	1.158	1.734	4.505	7.838	0.776	1.574	1.496	0.866	1.383	3.456	5.909
31.00689	1.196	54.432	35.003	37.033	47.292	12.089	1.194	2.83	0.979	55.177	33.698	37.99	46.971	12.259	1.396	1.093	0.91	55.663	34.121	40.634	46.84	11.568	1.1	2.407	0.981	0.939	1.787	1.339	2.222	5.436	8.756	0.955	0.783	1.086	1.427	1.717	4.149	8.196	1.045	0.76	1.079	0.764	1.366	3.211	6.152
31.1736	1.039	53.92	34.933	36.817	46.81	11.809	1.27	3.134	0.957	55.171	33.427	38.372	47.975	12.492	1.347	1.279	0.859	56.287	33.966	40.903	47.646	11.23	1.14	2.673	0.964	1.009	1.942	1.411	2.292	5.501	8.472	1.054	0.711	1.071	1.212	1.787	4.643	8.176	1.058	0.74	1.235	0.833	1.265	3.252	6.048
31.34041	1.282	53.975	35.289	37.262	46.777	12.26	1.108	2.83	1.122	55.32	34.127	38.591	47.714	12.659	1.396	1.122	0.967	55.663	34.35	40.72	47.469	10.91	1.157	2.492	0.924	1.024	2.016	1.368	2.479	5.579	8.67	1.069	0.811	1.258	1.255	1.659	4.406	8.339	0.959	1.161	1.307	0.764	1.223	3.297	6.066
31.507	1.182	54.263	35.505	37.189	47.667	11.952	1.241	2.991	0.928	55.342	34.399	38.458	47.804	12.977	1.175	1.451	0.973	56.001	34.68	41.189	47.988	11.288	1.082	2.473	1.049	0.952	1.771	1.411	2.434	5.587	8.815	1.197	0.768	1.071	1.24	1.616	4.243	8.318	1.23	1.14	1.293	0.833	1.379	3.509	6.305
31.67366	1.214	54.448	35.801	37.057	46.966	11.958	1.244	2.851	1.048	55.129	34.295	38.555	46.674	12.526	1.266	1.083	0.95	55.302	34.748	41.257	47.659	11.979	1.087	2.506	0.882	1.013	1.918	1.529	2.467	5.564	8.65	1.201	0.801	1.103	1.33	1.534	4.42	8.152	0.948	1.088	1.296	0.952	1.354	3.456	6.052
31.84041	1.333	54.209	35.415	37.035	47.615	12.09	1.169	3.003	0.895	55.246	34.191	38.473	47.296	12.369	1.487	1.343	0.855	55.822	34.589	41.291	46.882	11.025	1.056	2.472	0.88	1.072	1.917	1.475	2.353	5.528	8.833	1.176	0.747	1.077	1.474	1.708	4.355	8.287	0.863	0.939	1.356	0.98	1.413	3.084	6.105
32.00713	1.086	54.165	35.646	37.669	47.198	12.221	1.319	2.982	0.997	55.466	34.281	38.451	47.593	12.702	1.417	1.097	1.014	55.725	35.134	41.383	46.492	11.185	1.269	2.458	1.036	1.083	2.016	1.6	2.365	5.572	9.052	1.101	0.929	1.088	1.457	1.605	4.485	7.989	0.932	1.354	1.281	0.907	1.253	3.868	6.519
32.17376	1.246	53.885	35.693	37.559	46.914	12.208	1.209	2.962	0.898	55.531	34.907	38.833	47.938	12.381	1.341	1.286	1.029	56.243	35.128	41.39	47.806	11.029	1.126	2.436	1.094	0.99	1.984	1.361	2.503	6.069	9.053	1.091	0.747	1.052	1.507	1.682	4.266	8.313	0.84	1.277	1.358	0.874	1.246	3.58	6.237
32.34035	1.193	54.39	36.222	37.308	47.279	12.14	1.277	3.114	1.031	55.304	34.774	38.865	47.529	12.453	1.191	1.261	0.818	55.99	35.197	41.395	47.685	11.419	1.096	2.516	1.091	0.878	2.041	1.507	2.275	5.317	8.806	1.065	0.779	1.082	1.252	1.799	4.43	8.363	1.041	0.755	1.389	0.788	1.105	3.264	5.89
32.50714	1.242	54.416	35.97	37.462	47.015	12.374	1.206	3.073	0.893	55.859	35.097	39.193	47.838	12.461	1.336	1.283	0.737	56.428	35.804	41.522	47.392	11.539	1.007	2.631	1.003	0.986	2.066	1.615	2.47	5.72	8.76	1.058	0.801	1.105	1.274	1.564	4.346	8.537	0.922	1.043	1.269	0.87	1.414	3.404	6.089
32.67381	1.235	54.585	36.032	37.444	47.096	11.978	1.308	3.09	1.012	56.299	35.076	39.093	48.664	12.727	1.338	1.333	0.885	56.522	35.524	41.792	48.216	11.373	1.292	2.575	0.887	0.981	2.177	1.493	2.523	5.722	8.8	1.166	0.937	1.157	1.297	1.959	4.463	8.139	0.773	0.901	1.205	1.01	1.266	3.515	6.203
32.84046	1.3	54.477	36.316	37.714	46.337	12.129	1.244	2.994	0.934	56.187	35.524	39.184	47.188	12.526	1.266	1.254	0.893	56.559	35.719	41.543	48.373	11.979	1.173	2.506	0.882	0.956	2.289	1.586	2.267	5.735	8.793	1.201	0.772	1.103	1.244	1.905	4.334	8.181	0.948	0.974	1.068	0.923	1.126	3.342	6.052
33.00716	1.297	54.434	36.534	37.76	46.438	12.067	1.155	3.048	1.014	55.999	35.599	39.258	48.776	12.606	1.261	1.251	1.031	56.458	35.823	41.989	47.817	11.316	1.14	2.387	0.964	1.123	2.114	1.44	2.52	5.33	8.815	1.455	0.768	1.014	1.469	1.73	4.557	8.176	0.887	1.226	1.378	0.919	1.35	3.452	6.476
33.17384	1.118	54.321	36.284	37.88	47.212	12.113	1.179	3.014	1.032	56.024	35.405	39.349	48.606	13.108	1.337	1.329	0.934	56.341	36.202	41.88	47.991	11.191	1.159	2.32	0.955	1.116	1.991	1.432	2.341	5.663	9.288	1.276	0.79	1.092	1.233	1.808	4.061	8.394	0.85	0.902	1.285	0.825	1.371	3.272	6.267
33.34038	1.139	54.347	36.404	37.977	47.292	12.375	1.28	3.145	1.122	55.778	35.386	39.22	47.457	13.346	1.196	1.208	0.795	56.178	36.352	42.093	48.899	11.596	1.186	2.435	0.924	1.024	2.016	1.454	2.393	5.608	9.013	1.155	0.869	1.115	1.398	1.745	4.435	8.797	0.902	1.189	1.25	0.792	1.452	3.64	6.467
33.5071	1.414	55.074	36.657	37.834	47.474	12.546	1.292	3.073	0.95	55.83	36.213	39.623	47.953	12.69	1.507	1.283	0.852	56.514	36.663	42.237	48.537	11.453	1.093	2.517	1.032	1.072	2.237	1.472	2.413	5.977	9.19	1.144	0.801	1.22	1.189	1.678	4.346	8.222	1.008	1.358	1.326	0.698	1.3	3.461	6.261
33.67387	1.307	54.419	36.765	38.137	47.708	12.283	1.249	3.199	0.945	56.048	36.69	39.58	47.93	12.796	1.448	1.376	0.99	56.562	37.056	42.024	48.629	11.505	1.067	2.573	0.92	1.049	1.955	1.593	2.475	5.603	9.407	1.38	0.722	1.082	1.337	1.656	4.516	8.448	0.984	1.327	1.332	0.76	1.534	3.722	6.319
33.84053	1.258	55.107	36.788	37.954	47.941	12.336	1.176	2.925	0.997	55.665	36.451	39.765	48.478	13.273	1.36	1.268	0.843	56.925	37.076	42.097	47.692	12.042	0.984	2.572	0.865	1.112	1.987	1.429	2.537	5.714	9.024	1.129	0.843	1.231	1.543	1.862	4.627	8.588	1.132	1.611	1.824	1.078	1.453	3.668	6.291
34.00715	1.072	54.424	37.231	37.852	47.145	12.142	1.566	3.085	1.089	55.858	36.207	39.632	48.51	13.704	1.425	1.34	0.906	56.776	36.833	42.421	48.267	11.876	1.223	2.524	1.019	1.011	2.056	1.415	2.492	6.122	9.425	1.086	0.772	1.045	1.356	2.103	4.692	8.796	0.945	1.419	1.381	1.004	1.352	3.337	6.443
34.17377	1.379	55.161	37.065	38.183	47.246	12.706	1.345	3.239	1.311	55.626	36.391	39.971	48.813	13.708	1.325	1.218	1.012	56.225	37.586	42.729	48.11	11.327	1.17	2.707	1.338	1.036	2.2	1.464	2.548	5.967	9.033	1.137	0.908	1.298	1.524	1.842	4.851	8.527	0.971	1.29	1.662	0.976	1.378	3.71	6.137
34.34052	1.289	54.861	36.825	38.057	46.804	12.558	1.371	3.151	0.991	56.096	36.523	39.701	48.714	12.757	1.463	1.358	1.007	56.552	37.489	42.374	48.154	11.694	1.08	2.588	0.99	0.975	2.053	1.547	2.458	6.019	9.112	1.477	0.733	1.094	1.234	1.896	4.159	8.292	0.91	1.342	1.429	0.972	1.317	3.448	6.219
34.50723	1.461	54.603	37.369	38.229	46.975	12.815	1.342	3.122	0.933	55.724	37.582	39.845	47.97	13.33	1.492	1.272	1.007	56.61	37.861	42.66	48.411	11.779	1.166	2.502	1.019	1.032	2.139	1.518	2.458	5.79	9.255	1.219	0.904	1.094	1.349	1.638	4.503	8.292	0.996	0.999	1.229	1.058	1.374	3.649	6.075
34.67389	1.131	54.83	37.354	38.361	46.571	12.323	1.467	3.162	1.156	56.075	36.941	39.635	48.224	13.441	1.312	1.315	0.857	56.329	37.82	42.02	48.379	11.888	1.098	2.55	1.008	0.961	2.156	1.446	2.56	6.04	9.454	1.263	0.747	1.052	1.364	1.854	4.609	8.628	1.069	1.191	1.244	0.903	1.418	3.58	6.495
34.84056	1.371	55.098	37.328	38.229	47.635	12.385	1.294	3.05	1.161	56.397	37.41	39.882	48.631	13.539	1.455	1.411	0.918	56.675	38.114	42.58	48.956	11.838	1.261	2.49	1.057	1.176	2.03	1.514	2.519	5.926	9.442	1.188	0.873	1.237	1.406	1.981	4.782	8.715	1.141	1.677	1.485	1.006	1.376	3.77	6.375
35.00722	1.2	54.936	37.273	38.326	46.856	12.593	1.319	3.211	1.026	56.008	37.394	39.737	48.564	13.644	1.274	1.326	1.185	56.554	38.19	42.525	48.406	11.613	1.212	2.487	0.979	0.998	2.016	1.6	2.537	5.743	9.624	1.272	0.929	1.26	1.286	1.633	4.485	8.846	0.961	0.954	1.653	0.935	1.367	3.525	6.434
35.17384	1.257	54.328	37.788	38.309	47.585	12.569	1.446	3.314	1.259	56.009	37.089	39.957	48.637	13.46	1.528	1.325	1.132	56.634	38.369	42.571	48.934	11.963	1.225	2.651	0.935	1.174	2.254	1.543	2.601	5.884	9.245	1.073	0.987	1.206	1.433	1.664	4.396	8.902	0.851	1.378	1.369	1.145	1.516	3.678	6.796
35.34056	1.364	54.762	37.652	38.223	47.021	12.369	1.277	3.228	1.317	56.563	37.548	40.037	48.502	13.396	1.362	1.376	0.99	56.477	38.343	42.682	48.915	11.905	1.181	2.516	0.92	0.963	2.098	1.536	2.618	6.26	9.435	1.294	0.865	1.197	1.137	1.827	5.03	8.963	1.213	0.984	1.332	1.103	1.534	3.293	6.49
35.50716	1.414	55.389	37.802	38.378	46.987	12.804	1.206	3.216	1.065	55.601	37.989	40.081	48.182	13.835	1.479	1.397	0.909	57.373	38.925	42.753	48.108	11.797	1.208	2.603	1.118	1.044	1.98	1.701	2.642	6.035	8.932	1.23	0.829	1.277	1.446	1.764	4.776	9.053	0.979	1.014	1.326	0.956	1.472	3.633	6.347
35.67402	1.203	54.689	37.884	38.429	47.204	12.901	1.342	3.236	1.048	55.696	38.297	40.302	48.771	13.873	1.292	1.386	0.978	56.781	39.177	42.746	49.47	12.209	1.28	2.502	1.105	1.118	2.053	1.633	2.63	5.933	9.112	1.048	0.733	1.208	1.578	1.638	4.503	8.865	1.311	1.486	1.343	1.03	1.317	3.734	6.505
35.84062	1.221	54.39	38.109	38.566	47.479	12.884	1.191	3.142	1.117	56.277	38.348	40.38	48.645	13.225	1.305	1.576	0.99	57.249	39.315	42.968	49.086	12.363	1.267	2.688	0.977	1.049	2.298	1.593	2.704	6.003	9.407	1.38	0.808	1.111	1.337	1.97	4.659	9.049	1.041	1.384	1.389	0.874	1.648	3.464	6.891
36.00731	1.479	54.562	37.595	38.738	46.993	13.685	1.363	3.114	1.117	56.048	38.434	40.552	48.73	13.854	1.391	1.204	1.076	56.677	39.63	42.939	48.486	12.191	1.096	2.516	1.063	1.278	2.098	1.708	2.618	6.089	9.35	1.151	0.808	1.254	1.309	1.799	4.773	9.135	0.984	1.184	1.332	0.874	1.362	3.464	6.49
36.17399	1.282	55.062	38.206	38.521	47.12	12.975	1.451	3.374	1.151	56.379	38.732	40.278	48.773	13.546	1.539	1.465	1.053	56.864	39.698	42.951	49.443	11.682	1.243	2.607	0.981	1.053	1.93	1.54	2.565	6.18	9.871	1.212	0.897	1.201	1.599	1.831	4.664	9.398	1.074	1.475	1.479	0.964	1.395	3.64	6.581
