	MG1655-1	12PD3-8_1	12PD4-6_1	12PD6-3_1	12PD7-6_1	metJ-1	acrB-1	metJ_acrB-1	MG1655-2	12PD3-8_2	12PD4-6_2	12PD6-3_2	12PD7-6_2	metJ-2	acrB-2	metJ_acrB-2	MG1655-3	12PD3-8_3	12PD4-6_3	12PD6-3_3	12PD7-6_3	metJ-3	acrB-3	metJ_acrB-3	metJ_relA_acrB-1	metJ_relA_purT-1	metJ_relA_clsA-1	metJ_relA_rnb-1	metJ_relA_yeaR-1	metJ_relA_treR-1	metJ_relA_treA-1	metJ_relA_acrB-2	metJ_relA_purT-2	metJ_relA_clsA-2	metJ_relA_rnb-2	metJ_relA_yeaR-2	metJ_relA_treR-2	metJ_relA_treA-2	metJ_relA_acrB-3	metJ_relA_purT-3	metJ_relA_clsA-3	metJ_relA_rnb-3	metJ_relA_yeaR-3	metJ_relA_treR-3	metJ_relA_treA-3
11.67211	4.086	29.614	27.052	26.619	24.962	10.461	5.976	9.032	6.025	31.687	29.028	34.72	25.547	8.552	8.464	8.866	7.69	33.984	29.064	25.216	25.546	10.135	10.037	11.335	1.037	3.212	3.219	1.682	1.532	1.454	1.503	1.704	12.335	3.859	1.223	1.297	2.349	2.311	2.274	4.274	3.5	1.608	0.952	1.08	2.711
11.83876	4.083	29.633	26.789	26.129	25.236	10.456	6.141	9.254	6.19	33.973	29.104	35.077	25.397	8.547	9.082	8.69	7.769	35.021	30.529	25.265	25.793	10.3	10.74	11.188	0.891	3.548	3.243	1.792	1.528	1.45	1.755	1.812	12.67	4.025	1.22	1.351	2.429	2.336	2.184	4.554	3.127	1.633	0.948	1.162	2.848
12.00556	4.109	31.115	27.076	25.733	24.959	10.492	6.144	9.712	6.168	34.356	29.224	35.152	25.768	8.751	9.574	9.076	7.809	35.893	28.464	26.201	25.848	10.477	10.95	11.369	0.919	3.322	3.44	1.73	1.494	1.332	1.524	1.82	13.138	4.053	1.157	1.402	2.348	2.277	2.389	4.385	3.611	1.66	0.973	1.273	2.906
12.17223	4.279	31.342	27.104	25.903	25.385	10.606	6.173	9.712	6.225	34.385	29.849	35.436	26.562	8.922	10.0	9.36	7.922	36.801	30.082	25.775	26.246	10.335	11.404	11.738	0.976	3.521	3.326	1.815	1.408	1.559	1.695	1.848	13.848	4.053	1.1	1.459	2.461	2.334	2.474	4.669	3.582	1.66	0.917	1.273	2.991
12.33881	4.457	32.269	26.951	25.466	25.573	10.786	6.523	9.921	6.831	37.302	28.589	35.145	26.523	9.073	10.437	9.373	8.104	38.328	29.134	26.047	26.432	10.487	12.636	11.721	1.409	3.672	3.504	1.821	1.557	1.509	1.588	1.915	14.059	4.373	1.418	1.408	2.385	2.455	2.399	4.507	3.79	1.668	1.009	1.365	3.084
12.50551	4.462	32.099	27.155	25.53	25.717	10.868	6.921	10.204	7.084	38.37	29.103	35.648	26.273	9.271	10.885	9.39	8.24	38.514	29.393	26.083	27.206	10.4	12.884	11.715	0.818	3.589	3.765	1.859	1.623	1.631	1.68	1.969	14.871	4.122	1.258	1.389	2.613	2.432	2.511	4.963	3.678	1.73	1.072	1.343	3.201
12.67221	4.608	33.243	27.248	25.595	25.811	10.874	6.982	9.982	7.259	40.452	29.112	36.226	27.076	9.247	11.486	9.879	8.586	40.057	28.778	25.978	27.555	10.32	13.372	12.317	0.964	3.849	3.854	1.862	1.541	1.577	1.656	1.889	15.445	4.693	1.318	1.449	2.618	2.351	2.26	4.798	3.825	1.62	0.962	1.318	3.063
12.83894	4.619	34.861	27.87	26.074	26.265	10.861	7.507	10.45	7.53	40.061	29.394	35.578	27.868	9.432	11.958	9.956	8.944	41.058	29.997	26.371	28.431	10.59	13.816	12.022	1.004	3.748	3.667	1.73	1.636	1.729	1.78	1.763	16.061	4.791	1.27	1.487	2.603	2.504	2.531	5.066	3.866	1.745	0.973	1.244	3.161
13.00553	4.883	36.244	27.377	25.721	26.368	11.042	7.971	10.602	7.74	42.356	29.441	36.281	27.8	9.471	12.936	9.799	8.871	42.02	30.639	26.813	28.363	10.828	14.652	11.977	1.097	4.041	3.958	1.878	1.557	1.68	1.787	1.915	16.245	4.913	1.248	1.635	2.612	2.455	2.399	5.189	3.96	1.725	1.066	1.536	3.17
13.17218	4.979	36.53	28.17	26.002	27.049	11.086	8.411	10.787	8.068	43.755	29.724	36.598	28.48	9.458	13.466	10.019	9.57	42.682	30.553	27.009	28.928	10.587	15.296	12.221	1.024	3.883	3.799	1.831	1.822	1.747	1.798	1.789	16.436	4.982	1.343	1.503	2.711	2.551	2.641	5.259	4.03	1.765	1.077	1.348	3.409
13.3389	5.337	37.55	28.058	26.346	27.277	11.326	8.652	10.517	8.592	45.678	30.123	36.224	28.681	9.556	13.816	10.254	9.893	44.149	30.185	27.097	29.556	10.771	16.1	12.374	0.984	4.012	4.185	1.821	1.727	1.85	1.759	1.745	16.813	5.339	1.418	1.579	2.612	2.625	2.74	5.643	4.329	1.81	1.094	1.536	3.737
13.50566	5.442	36.763	28.864	26.329	27.684	11.372	8.727	10.621	8.666	45.738	30.189	36.742	29.486	9.773	14.853	10.155	10.221	45.599	31.302	27.762	30.248	10.903	16.654	11.965	0.976	3.833	4.206	1.9	1.749	1.673	1.695	1.905	16.913	4.99	1.27	1.629	2.859	2.447	2.389	5.747	4.32	1.717	0.973	1.443	3.587
13.67232	5.69	39.457	28.909	26.655	28.271	11.427	9.463	10.958	9.12	46.824	30.349	35.348	29.617	9.912	15.256	10.502	10.536	45.779	31.633	28.259	30.463	11.326	16.859	12.307	1.024	4.139	4.311	1.916	1.822	1.69	1.769	2.016	17.686	5.267	1.428	1.56	2.711	2.637	2.386	6.083	4.428	1.737	1.02	1.547	3.495
13.8389	5.702	41.394	28.765	26.482	28.613	11.727	9.933	10.888	9.648	48.512	30.633	36.091	30.668	10.013	16.072	10.551	10.726	47.467	31.405	28.257	31.285	11.314	18.073	12.637	1.036	4.379	4.578	1.897	1.831	1.871	1.78	1.719	17.395	5.678	1.381	1.655	2.924	2.733	2.486	5.869	4.299	1.834	1.002	1.615	3.707
14.00553	6.177	41.542	28.804	27.204	29.389	11.802	10.491	11.332	10.12	49.622	30.188	36.098	30.82	9.832	16.513	10.821	11.31	48.349	31.528	28.353	31.693	11.587	17.917	13.449	1.028	4.484	4.798	1.891	1.74	1.835	1.887	1.936	18.12	5.953	1.46	1.762	3.085	2.726	2.419	6.343	4.631	1.741	1.251	1.551	3.925
14.17236	6.347	42.878	29.543	27.175	29.389	12.171	10.775	11.19	10.29	51.014	31.211	36.893	31.274	10.031	17.451	10.878	11.878	49.429	32.04	28.751	31.779	11.928	18.94	13.364	1.113	4.541	5.053	2.004	1.91	1.779	1.858	1.709	18.063	6.038	1.602	1.677	3.0	2.811	2.646	6.371	4.461	1.741	1.08	1.608	3.954
14.339	6.671	44.166	30.103	27.34	29.747	12.462	11.179	11.397	10.835	52.123	30.918	37.247	31.662	10.096	17.166	10.481	12.051	51.049	32.002	28.829	32.594	12.134	18.826	13.311	1.182	4.523	4.98	1.906	1.983	1.907	1.929	1.859	18.119	6.077	1.532	1.749	3.038	2.625	2.626	6.665	5.039	1.81	1.009	1.621	3.936
14.50557	6.972	45.009	29.855	27.687	30.497	12.938	11.741	11.418	10.944	53.032	31.666	36.95	32.525	10.372	18.076	10.793	12.418	52.782	32.58	29.546	33.512	12.354	19.736	14.017	1.113	4.825	4.798	2.004	1.939	1.921	1.858	1.709	19.285	5.925	1.46	1.734	3.142	2.697	2.675	6.911	4.859	1.684	1.109	1.778	3.84
14.67236	6.934	46.29	30.312	28.148	31.257	13.398	12.456	11.996	11.599	53.273	31.835	37.049	32.919	10.58	18.776	11.184	12.614	53.502	33.26	29.637	33.029	12.674	20.208	14.416	1.134	4.955	5.272	2.032	1.825	1.833	1.769	1.918	18.679	6.225	1.488	1.647	3.128	2.691	2.629	7.209	4.988	1.819	1.048	1.772	4.226
14.839	7.48	47.355	30.755	28.246	31.425	13.984	12.815	11.725	11.847	54.665	32.281	37.11	33.083	11.077	19.034	11.042	13.093	55.012	33.451	29.765	34.44	13.457	20.24	14.807	0.996	5.218	5.39	2.058	1.765	2.031	1.855	1.76	19.562	6.261	1.456	1.759	3.223	2.779	2.726	7.333	5.621	1.85	1.105	1.803	4.262
15.00568	7.678	49.06	30.926	28.445	32.277	14.353	13.156	12.066	12.074	56.427	31.997	36.939	34.163	11.503	19.375	11.411	13.605	56.49	34.048	30.134	34.525	13.883	20.183	15.403	1.081	5.417	5.589	2.086	1.907	2.031	2.054	1.931	18.454	6.517	1.456	1.674	3.393	2.693	2.556	7.674	5.138	1.737	1.077	1.888	4.461
15.17232	8.09	49.724	30.67	29.353	32.877	15.253	13.885	12.821	12.519	58.035	33.249	37.683	33.994	11.861	20.393	11.859	13.654	58.071	33.367	30.673	35.351	14.526	20.603	15.821	1.008	5.573	5.602	2.011	2.116	2.098	2.121	1.89	18.76	6.957	1.608	1.769	3.351	2.876	2.912	7.887	5.721	1.919	1.173	1.957	4.446
15.33905	8.323	51.164	31.106	29.194	32.909	15.534	14.309	12.879	12.715	58.328	33.398	38.053	34.767	12.287	20.184	12.163	14.045	58.419	33.488	30.116	35.642	15.008	21.19	16.896	1.073	5.891	5.609	2.137	2.071	2.166	2.018	1.864	18.439	6.848	1.62	1.894	3.242	2.885	2.745	7.919	5.867	1.842	1.183	1.88	4.707
15.50577	8.593	51.635	31.446	29.622	34.07	16.282	14.546	13.459	12.781	58.254	32.885	37.792	35.503	12.782	20.16	12.255	14.45	59.847	34.509	30.515	35.725	15.245	21.791	17.585	1.146	6.047	6.278	2.07	1.976	2.24	2.035	1.82	18.162	7.657	1.611	1.742	3.568	3.015	2.815	8.557	5.626	1.717	1.229	2.039	4.665
15.67239	9.089	53.632	31.93	29.931	33.826	16.709	15.057	13.679	13.521	60.496	33.088	37.865	35.881	13.345	20.657	12.662	14.997	60.674	34.571	31.365	36.583	15.954	21.834	18.074	1.097	6.175	5.72	2.185	1.92	2.187	1.983	1.895	19.08	7.303	1.697	1.943	3.782	2.965	2.775	9.229	6.038	1.952	1.205	2.074	4.82
15.83902	9.213	54.516	32.572	30.322	34.286	17.467	14.908	14.078	13.768	61.303	33.954	38.462	36.372	13.769	20.664	12.702	15.011	61.704	34.67	31.016	37.191	16.573	21.443	18.543	1.227	6.809	6.245	2.124	1.973	2.152	2.088	1.729	18.58	7.568	1.608	1.994	3.478	2.869	2.866	9.318	6.16	1.827	1.253	1.865	4.774
16.00568	9.302	56.233	32.468	30.132	35.091	17.871	15.539	14.537	13.689	61.745	33.453	38.133	36.808	14.57	21.58	12.766	15.642	62.799	34.736	31.48	37.627	17.09	21.763	19.742	1.316	7.069	5.994	2.326	2.004	2.155	2.035	1.763	18.843	7.26	1.526	2.055	3.795	3.015	3.042	9.465	5.626	1.83	1.314	2.096	4.978
16.1723	9.568	57.397	32.488	30.491	35.625	18.254	16.091	15.202	13.93	62.828	33.871	38.78	37.227	14.923	21.056	13.661	15.401	64.025	35.296	31.413	37.932	17.444	22.46	20.154	1.154	7.42	6.854	2.247	2.153	2.361	2.27	1.915	19.142	7.667	1.617	1.891	3.549	3.051	2.967	9.76	6.516	2.009	1.151	2.104	5.157
16.33916	9.871	59.047	33.493	31.068	36.039	18.849	16.345	15.851	13.956	63.887	34.792	38.343	37.327	15.572	22.139	14.004	15.544	64.917	35.677	31.166	38.741	18.123	22.492	20.752	1.17	7.866	6.616	2.232	2.081	2.29	2.285	1.965	18.489	7.686	1.602	2.018	3.853	3.209	2.902	10.265	6.564	1.854	1.194	2.375	5.034
16.50579	10.478	60.527	33.285	31.115	36.346	19.375	16.557	16.488	14.367	64.318	34.215	37.854	38.145	16.381	21.9	14.616	16.042	65.321	35.897	31.81	38.904	18.449	22.65	21.564	1.121	7.705	6.71	2.323	2.087	2.468	2.15	1.804	17.623	8.236	1.693	2.025	3.692	2.989	2.855	10.873	6.545	2.033	1.343	2.554	5.128
16.67242	10.351	60.994	33.034	31.268	37.208	19.731	16.889	17.281	14.614	65.136	35.462	38.603	38.587	16.858	22.183	15.301	16.392	66.214	36.406	32.019	39.747	18.894	22.51	20.831	1.292	8.428	6.564	2.278	2.212	2.673	2.325	1.619	18.543	8.394	1.648	2.034	3.965	3.162	3.209	10.652	6.079	1.977	1.122	2.356	5.319
16.8392	10.326	62.258	34.232	31.864	37.431	19.958	17.084	17.527	14.979	66.416	35.417	38.797	38.947	17.476	22.85	16.079	16.624	67.247	36.615	32.417	40.048	19.743	22.322	22.344	1.199	8.889	6.872	2.345	2.28	2.461	2.313	1.68	18.575	8.226	1.801	2.018	4.108	3.067	3.101	11.373	6.706	2.252	1.336	2.375	5.46
17.00576	10.949	63.044	35.023	31.722	37.93	20.284	17.128	18.397	14.938	66.911	35.979	38.729	39.448	18.316	22.601	16.824	16.919	67.794	36.723	32.7	40.777	20.297	23.409	22.58	1.004	9.226	7.044	2.326	2.232	2.581	2.347	1.99	18.502	8.679	1.781	2.14	4.334	3.27	3.155	11.48	6.534	2.001	1.144	2.436	5.829
17.17242	11.103	64.905	34.934	32.082	38.734	20.711	17.524	19.246	15.05	66.877	36.575	40.469	39.908	18.797	22.611	17.602	17.407	68.362	37.546	32.834	40.752	20.013	22.821	22.871	1.264	9.497	6.966	2.267	2.343	2.638	2.463	1.861	18.476	8.549	2.034	2.025	4.289	3.416	2.998	11.811	6.801	2.118	1.116	2.667	5.554
17.33916	11.163	65.449	34.826	32.659	39.044	21.015	17.859	19.383	15.47	68.353	36.38	39.729	40.39	19.245	22.995	18.099	17.198	68.586	37.748	33.041	41.549	20.432	23.093	22.292	1.243	10.009	7.455	2.25	2.327	2.762	2.472	1.608	19.035	9.035	1.933	2.093	4.435	3.311	3.256	12.037	7.145	2.155	1.268	2.477	6.127
17.50598	11.444	66.923	35.048	32.622	39.615	20.91	18.092	20.468	15.249	69.151	36.859	40.469	40.789	19.508	22.952	18.142	17.407	69.926	38.455	33.829	42.117	20.553	23.162	22.814	1.718	10.605	7.393	2.238	2.286	2.695	2.491	1.946	18.675	9.402	1.807	2.025	4.602	3.302	3.253	12.209	6.744	2.09	1.343	2.724	6.151
17.67254	11.519	68.34	35.653	32.745	40.017	21.066	18.05	21.307	16.031	69.429	37.15	39.508	41.277	19.892	22.594	19.119	17.562	70.373	39.144	33.468	42.094	20.794	23.032	23.026	1.511	10.878	7.725	2.431	2.507	2.858	2.455	1.879	19.171	8.88	1.857	2.103	4.79	3.465	3.499	12.424	7.075	2.082	1.251	2.546	6.227
17.83923	11.434	68.794	36.107	33.143	40.586	21.236	18.703	21.79	16.116	70.082	37.548	40.474	41.76	19.949	22.765	19.716	17.761	70.543	39.173	33.354	42.833	20.624	23.06	23.111	1.284	11.702	7.213	2.516	2.678	3.001	2.54	1.879	19.399	8.88	1.886	2.274	4.62	3.55	3.272	13.049	7.047	2.195	1.365	2.744	6.312
18.00593	11.887	69.989	36.558	32.936	40.988	21.017	18.824	22.054	16.293	71.024	37.688	40.619	42.303	20.98	23.603	20.671	18.34	71.09	39.54	34.199	43.63	20.745	23.016	22.924	1.219	12.443	7.662	2.333	2.524	3.104	2.588	1.706	18.867	9.247	1.902	2.291	4.645	3.598	3.411	13.222	7.015	2.272	1.298	2.935	6.422
18.1725	11.851	70.428	36.544	33.459	41.635	20.876	19.195	22.425	16.55	72.064	37.532	40.922	42.749	20.782	23.694	20.963	18.258	71.477	39.186	34.381	43.677	20.233	22.706	22.586	1.235	12.866	7.966	2.375	2.651	3.176	2.688	1.67	18.527	9.296	1.801	2.134	4.922	3.671	3.29	13.503	7.263	2.203	1.313	2.781	6.926
18.33926	12.2	71.212	36.843	33.818	41.955	20.847	19.194	22.85	16.578	71.906	38.541	40.732	43.27	20.98	23.233	21.097	18.34	71.83	40.308	34.541	44.427	19.977	22.987	22.924	1.304	13.353	8.089	2.419	2.552	3.19	2.758	1.82	19.266	9.588	1.902	2.206	5.157	3.741	3.61	13.819	7.015	2.216	1.383	3.078	7.019
18.50595	11.972	72.236	37.696	33.874	42.467	20.648	19.422	22.651	16.919	72.418	38.655	42.098	43.64	21.378	23.204	21.126	18.767	71.943	39.996	35.024	44.853	20.66	22.93	22.725	1.276	14.064	7.918	2.504	2.78	3.503	2.929	1.706	18.697	9.247	1.987	2.377	5.129	3.854	3.525	14.388	7.158	2.272	1.44	3.163	7.076
18.67253	12.354	73.064	38.061	34.015	42.799	20.597	19.798	22.743	16.755	73.273	39.446	41.805	44.143	21.896	23.549	22.15	18.572	71.774	40.104	34.682	45.073	19.871	23.418	22.644	1.207	13.931	7.762	2.494	2.713	3.434	2.662	1.776	18.845	8.975	1.779	2.252	5.142	3.643	3.765	14.398	7.398	2.175	1.429	3.037	7.061
18.83925	12.232	73.994	38.587	34.39	43.882	20.406	19.921	23.266	17.077	73.411	39.405	42.37	45.023	21.367	23.112	22.662	18.644	72.653	41.002	35.541	45.836	20.162	22.893	21.719	1.671	14.616	7.89	2.524	2.8	3.696	3.237	1.737	18.285	9.392	2.007	2.312	5.245	4.021	3.984	14.512	6.875	2.411	1.405	3.074	7.847
19.00588	12.545	74.536	38.502	34.931	44.452	20.435	20.377	23.351	17.561	73.867	39.747	42.712	45.023	21.537	23.312	23.089	19.213	72.682	41.372	35.256	46.178	20.19	22.808	22.631	1.585	14.672	8.146	2.524	3.256	3.696	3.066	1.823	18.57	9.448	2.007	2.369	5.53	4.021	3.728	14.284	7.359	2.382	1.462	3.159	7.847
19.17253	12.363	74.585	38.935	34.626	44.568	20.591	20.732	22.795	17.489	73.659	40.152	42.232	45.51	21.807	23.38	23.241	19.055	72.303	41.663	35.691	46.381	19.578	22.593	22.33	1.321	15.627	7.539	2.517	2.907	3.973	3.115	1.641	18.356	9.865	2.058	2.533	5.605	3.928	3.888	14.698	6.95	2.232	1.398	3.322	7.751
19.33918	12.758	75.556	39.21	34.907	44.802	20.292	20.658	22.665	17.417	74.514	40.453	42.87	45.919	21.534	23.045	22.586	19.405	72.446	42.39	36.227	46.735	19.764	22.601	22.481	1.296	16.014	7.994	2.668	2.972	3.836	3.177	1.781	18.739	9.094	2.066	2.54	5.972	4.017	3.771	14.887	7.062	2.35	1.376	3.297	8.26
19.50604	12.797	76.361	40.0	35.752	45.141	20.221	20.787	22.566	17.517	75.064	41.102	43.008	46.513	21.378	23.204	22.861	19.791	72.825	42.812	36.76	47.641	19.806	22.902	21.871	1.532	16.027	8.203	2.589	3.263	4.214	3.469	1.962	18.412	9.446	2.044	2.633	6.238	4.167	4.009	15.412	7.328	2.272	1.44	3.59	8.072
19.67259	13.196	76.438	40.171	35.814	45.9	20.696	20.806	22.728	17.508	74.799	41.356	43.913	46.677	21.0	22.821	22.927	19.551	72.703	44.004	36.566	47.579	19.828	22.577	21.548	1.369	16.05	7.639	2.658	3.047	4.166	3.45	1.766	18.489	9.761	2.284	2.587	6.211	4.345	4.096	15.209	7.615	2.281	1.478	3.37	8.216
19.83928	13.514	76.558	40.723	35.786	46.417	20.492	21.032	22.953	17.646	75.832	41.997	44.364	47.131	20.711	22.913	22.833	19.413	73.252	43.708	37.193	48.343	19.82	22.865	22.232	1.585	16.723	8.374	2.638	3.341	4.295	3.579	1.851	18.883	10.189	2.32	2.711	6.27	4.391	4.126	16.022	7.615	2.553	1.519	3.501	8.787
20.00607	13.616	76.676	40.671	36.201	46.398	20.433	20.941	22.607	17.842	76.258	42.652	44.326	47.601	21.163	23.097	22.378	19.912	73.11	44.588	37.407	48.617	19.651	22.882	22.307	1.507	18.259	8.487	2.512	3.242	4.588	3.673	1.931	18.226	9.67	2.195	2.697	6.803	4.569	4.232	15.885	7.44	2.419	1.56	3.479	9.007
20.17264	13.793	77.1	41.821	36.349	47.133	20.278	20.986	22.196	17.687	76.202	42.467	44.857	48.106	21.151	22.891	22.434	19.762	72.712	45.543	37.898	49.376	20.119	23.101	22.213	1.532	17.962	8.63	2.845	3.519	4.726	3.868	1.649	19.095	10.185	2.243	2.803	6.665	4.423	4.35	16.095	7.186	2.272	1.525	3.646	8.669
20.33937	14.123	77.299	42.454	36.779	47.857	20.499	21.009	22.218	17.738	75.974	43.471	44.867	48.259	20.632	23.173	22.719	19.702	72.882	45.722	38.129	49.614	19.799	22.955	22.037	1.658	18.154	8.729	2.77	3.587	4.823	3.794	1.665	18.463	10.031	2.424	2.643	6.994	4.521	4.395	15.859	7.515	2.37	1.537	3.83	8.885
20.50591	14.338	77.188	42.908	37.278	47.947	20.327	21.06	22.244	17.905	76.002	44.234	45.083	48.528	20.261	23.413	21.725	19.973	73.054	46.341	38.483	49.886	20.226	22.858	22.056	1.523	18.521	8.899	2.758	3.913	5.172	4.002	1.66	18.545	10.279	2.384	2.771	7.382	4.641	4.33	16.007	7.112	2.52	1.577	3.779	8.99
20.67272	14.332	77.802	43.609	37.235	48.23	20.441	20.835	22.415	18.133	76.76	44.539	45.618	48.95	20.858	23.191	22.188	20.148	72.476	46.874	38.384	50.023	20.084	22.805	22.372	1.454	18.892	8.662	2.857	3.928	5.103	4.217	1.68	18.66	10.13	2.397	3.041	7.462	4.914	4.437	16.175	6.962	2.423	1.478	4.165	9.325
20.83951	14.659	77.801	44.182	37.705	49.023	20.613	21.524	22.618	18.281	76.335	45.713	46.343	49.907	20.719	22.836	22.301	19.734	72.672	48.363	38.855	50.549	19.599	22.901	22.097	1.589	18.439	8.578	2.898	4.029	5.182	4.095	1.657	18.463	9.796	2.352	2.971	7.615	5.051	4.702	16.028	7.193	2.5	1.694	4.018	9.163
21.00611	14.698	77.688	44.772	37.815	48.952	20.42	21.159	21.969	17.945	75.993	46.187	47.186	49.838	20.469	23.153	21.874	19.966	72.189	49.549	39.022	50.994	20.318	22.422	22.045	1.491	18.702	8.706	2.859	3.932	5.482	4.311	1.584	18.698	9.694	2.428	3.045	7.199	4.867	4.799	16.264	7.691	2.46	1.683	4.09	9.659
21.17274	15.176	77.669	45.215	38.544	49.394	20.242	21.265	22.161	18.08	76.259	46.715	47.6	49.938	20.433	22.746	21.837	19.616	72.284	49.621	39.353	51.407	20.055	22.784	21.895	2.057	20.033	8.303	2.941	4.185	5.877	4.478	1.665	18.036	10.942	2.567	3.07	8.133	5.233	4.765	16.258	7.941	2.569	1.593	4.172	9.653
21.33939	15.182	78.03	46.252	38.754	49.579	20.221	21.415	22.482	17.745	75.794	47.952	47.157	50.493	20.554	23.01	22.131	19.567	71.819	50.403	39.62	51.62	19.977	23.048	21.732	1.406	19.813	9.076	2.859	4.445	5.938	4.51	1.584	18.1	9.979	2.513	2.988	7.683	5.123	4.571	16.179	7.52	2.573	1.683	4.09	10.086
21.50612	15.418	77.887	46.356	38.906	50.262	20.606	20.977	22.127	17.933	76.022	48.287	48.035	51.087	20.741	23.032	22.415	19.616	71.702	50.512	40.256	51.814	20.19	23.239	22.207	1.659	20.115	8.592	2.908	4.496	5.679	4.877	1.53	18.4	10.21	2.619	3.352	8.572	5.492	5.06	16.305	7.693	2.598	1.648	4.373	9.778
21.67281	15.505	77.554	47.419	39.218	50.476	20.186	21.272	22.507	17.742	76.06	48.924	48.73	51.042	20.778	23.359	21.977	19.886	71.51	52.119	40.512	52.566	19.998	22.767	22.075	1.623	20.296	8.759	3.153	4.344	6.271	4.785	1.784	18.636	10.266	2.465	3.428	8.944	5.628	5.088	16.596	7.377	2.705	1.667	4.595	10.205
21.83945	15.46	77.591	48.329	39.325	51.104	20.572	20.916	22.179	17.985	76.269	49.436	49.214	51.441	21.021	23.176	22.053	19.645	71.205	52.832	40.82	52.422	19.526	22.611	22.005	1.717	20.311	8.94	3.018	4.665	6.537	5.25	1.623	18.309	10.02	2.729	3.464	8.813	5.694	5.185	16.495	8.529	2.827	1.589	4.575	10.73
22.00616	15.582	77.419	48.951	39.735	51.449	20.387	20.876	22.395	18.087	75.555	50.516	49.897	51.809	21.066	23.17	22.196	20.152	71.173	53.887	41.488	52.903	19.654	23.117	21.881	1.827	20.215	8.741	3.096	4.945	6.821	5.019	1.682	18.41	9.909	2.835	3.629	8.849	5.978	5.562	15.993	7.704	2.709	1.841	4.43	10.108
22.17279	15.662	77.143	49.738	40.267	51.805	20.294	20.954	22.302	18.023	76.165	51.389	50.74	52.281	20.687	23.504	21.757	19.8	70.812	54.73	41.534	53.29	19.647	22.48	22.131	1.795	20.121	9.165	3.178	5.227	7.302	5.386	1.563	19.002	10.446	2.66	3.482	8.815	5.973	5.07	15.958	8.013	2.734	1.837	4.94	10.588
22.33944	15.962	77.189	50.862	40.862	52.08	20.316	20.664	22.182	17.846	75.669	52.516	51.325	52.379	20.567	23.192	21.966	19.686	70.998	55.717	41.958	53.872	19.839	22.794	21.9	1.996	20.233	8.57	3.231	5.312	6.905	5.846	1.771	18.025	10.17	2.827	3.68	9.371	6.12	5.596	16.434	7.65	2.763	1.892	4.914	10.6
22.50616	15.709	76.999	51.866	40.902	52.307	19.83	20.691	22.41	17.873	75.021	53.432	51.612	52.724	20.623	22.929	21.871	19.539	70.352	56.889	42.255	53.674	19.582	22.876	21.811	1.893	20.202	9.18	3.102	5.239	7.316	5.914	1.607	17.938	10.834	2.985	3.551	9.29	6.759	5.43	16.407	7.943	2.889	1.762	4.954	10.834
22.67288	15.985	76.655	52.537	41.136	52.609	20.109	21.257	22.776	17.667	75.479	54.19	52.341	53.167	20.874	23.183	21.957	19.592	70.465	57.82	42.518	54.231	19.46	22.872	21.835	1.906	19.882	9.538	3.199	5.594	7.187	6.013	1.537	18.561	9.85	2.996	3.991	9.909	6.201	5.676	16.284	7.473	2.873	1.86	5.339	11.023
22.83953	15.717	76.941	53.409	41.629	53.111	19.987	20.593	21.653	17.775	75.278	55.178	52.757	53.553	20.467	23.466	22.271	19.846	69.976	58.523	42.897	54.501	19.739	22.925	21.314	1.747	20.592	9.381	3.295	5.864	7.516	6.341	1.867	18.726	10.495	3.035	4.003	9.927	6.959	5.55	16.619	7.803	2.972	1.957	5.238	11.385
23.00619	16.222	76.478	54.125	41.941	53.205	20.131	20.741	22.085	17.521	75.219	56.186	53.333	53.667	20.642	23.081	22.098	19.63	69.709	59.307	43.642	54.957	19.623	22.879	21.322	1.654	19.939	9.183	3.452	5.913	8.002	6.913	1.671	18.729	10.561	3.163	3.791	10.088	6.5	5.878	16.874	7.953	2.937	1.86	5.523	10.681
23.1729	16.28	76.023	55.027	42.351	53.299	19.751	20.931	21.933	17.798	74.647	57.284	54.175	54.312	20.489	23.005	21.698	19.298	69.258	60.745	44.193	55.002	19.158	22.806	21.71	1.673	19.698	9.11	3.478	6.191	7.701	6.527	1.539	18.319	10.798	3.045	4.1	9.659	7.002	5.883	16.812	7.647	2.841	1.883	5.338	10.715
23.33954	16.324	76.039	55.961	42.922	53.806	19.887	20.812	21.984	17.735	74.579	58.509	54.566	54.442	20.225	23.294	21.391	19.412	69.471	61.342	44.134	55.474	19.293	22.777	21.192	1.875	20.699	9.575	3.503	5.962	8.366	6.76	1.919	18.399	10.808	3.07	4.156	9.874	7.437	6.182	16.946	8.315	3.1	2.082	5.055	11.272
23.50633	16.333	75.979	56.739	42.936	54.213	20.102	20.858	21.828	17.867	74.548	58.889	54.828	54.874	20.413	23.201	22.28	19.806	69.064	62.643	44.838	55.703	19.478	22.509	20.922	1.9	19.424	9.031	3.553	6.446	8.194	7.392	2.123	18.443	10.525	3.321	4.323	10.256	7.552	6.217	16.729	8.003	3.212	1.933	5.657	11.566
23.67286	16.482	75.274	57.81	43.689	54.193	19.829	21.049	21.93	17.625	74.45	60.281	56.475	55.107	20.199	23.372	21.713	20.004	69.16	63.148	45.22	56.71	19.29	22.648	21.259	1.77	20.709	9.771	3.733	6.661	8.761	7.872	2.119	18.143	11.012	3.559	4.478	10.348	7.601	6.707	16.77	8.632	3.083	1.972	5.445	11.31
