	MG1655-1	GLUT1-3_1	GLUT1-10_1	GLUT4-1_1	GLUT8-6_1	kgtP-1	proV-1	ybjL-1	MG1655-2	GLUT1-3_2	GLUT1-10_2	GLUT4-1_2	GLUT8-6_2	kgtP-2	proV-2	ybjL-2	MG1655-3	GLUT1-3_3	GLUT1-10_3	GLUT4-1_3	GLUT8-6_3	kgtP-3	proV-3	ybjL-3	kgtP_proV-1	kgtP_sspA-1	kgtP_ybjL-1	kgtP_proV_ybjL-1	kgtP_proV-2	kgtP_sspA-1dup	kgtP_ybjL-2	kgtP_proV_ybjL-2	kgtP_proV-3	kgtP_sspA-3	kgtP_ybjL-3	kgtP_proV_ybjL-3
14.83913	0.845	15.265	6.695	12.192	14.883	5.09	1.548	1.479	1.432	13.02	7.42	11.504	15.412	5.092	1.551	1.645	1.609	13.999	6.509	10.24	16.988	4.977	1.954	2.114	8.228	11.626	6.88	11.347	8.266	8.669	7.238	10.534	7.529	10.341	7.363	11.295
15.00589	0.827	15.634	7.272	12.651	15.624	5.242	1.618	1.635	1.583	13.303	7.369	12.106	16.637	5.327	1.62	1.628	1.647	14.112	6.716	10.586	18.069	5.043	1.965	2.095	8.459	11.456	7.287	12.177	8.583	9.302	7.217	11.108	7.848	10.716	7.513	12.068
15.17261	0.962	15.85	7.549	13.239	16.582	5.406	1.697	1.6	1.604	13.69	7.874	12.38	17.309	5.346	1.585	1.678	1.668	14.641	7.363	11.346	18.883	5.291	2.014	2.173	9.161	12.472	7.135	12.708	8.887	8.978	7.693	11.355	8.238	11.048	7.789	12.485
15.33922	0.78	16.03	8.162	13.65	17.361	5.622	1.717	1.59	1.564	14.155	8.202	13.162	18.031	5.561	1.661	1.724	1.628	15.136	7.664	11.672	19.604	5.45	2.118	2.218	9.202	12.683	7.806	12.406	9.384	9.904	7.765	12.707	8.566	10.975	8.09	14.093
15.506	0.883	16.182	8.718	14.089	17.968	5.867	1.793	1.723	1.58	14.734	8.986	14.029	18.638	5.832	1.85	1.771	1.702	15.259	8.533	11.998	20.41	5.466	2.05	2.122	9.528	12.011	7.793	13.586	9.539	9.861	8.037	12.862	8.893	11.045	8.304	13.706
15.67249	0.936	16.119	9.539	14.995	19.301	5.834	1.704	1.578	1.576	14.727	9.864	14.593	19.515	6.113	1.762	1.796	1.87	15.453	9.127	12.476	20.716	5.747	2.189	2.061	10.149	12.661	8.187	14.093	10.132	10.14	8.317	13.369	9.031	11.382	8.727	14.498
15.83923	0.959	16.214	10.481	15.429	20.169	6.229	1.894	1.882	1.771	15.366	10.55	14.827	20.582	6.369	2.038	1.817	1.807	15.747	9.868	13.28	21.272	5.915	2.296	2.34	10.781	13.037	8.129	14.813	10.279	10.256	8.772	14.144	9.631	12.155	8.669	15.788
16.00591	0.958	15.822	10.953	16.464	20.625	6.31	1.783	1.799	1.625	15.426	11.249	15.663	21.038	6.701	1.84	1.846	1.691	15.981	10.256	13.917	21.585	6.137	2.295	2.224	11.134	12.735	8.69	15.704	11.061	10.927	8.849	15.009	10.103	12.083	9.173	15.824
16.17256	1.328	16.192	11.494	16.948	21.109	6.538	1.897	1.799	1.711	15.825	11.819	15.919	21.152	6.588	2.04	1.846	1.777	16.835	11.366	14.259	21.727	6.394	2.438	2.366	11.248	13.361	8.804	16.644	11.317	11.041	9.333	15.55	10.501	12.539	9.628	17.561
16.33917	1.25	16.119	12.103	17.388	21.636	6.632	1.961	1.805	1.719	15.753	13.111	16.814	21.508	6.882	2.103	1.939	1.87	16.478	11.747	15.04	21.685	6.573	2.473	2.232	11.573	13.373	9.155	17.653	11.215	11.223	9.599	16.074	11.053	12.179	9.923	17.602
16.50588	1.214	15.736	13.715	17.887	21.906	6.851	2.04	1.771	1.881	15.853	13.698	17.314	21.408	7.043	2.097	1.932	1.89	16.835	12.42	15.369	22.041	6.735	2.381	2.309	12.102	13.76	9.743	18.238	12.228	11.297	9.845	17.315	11.042	12.596	10.226	18.813
16.67268	1.157	16.106	13.772	18.001	22.248	7.164	2.154	1.856	1.796	16.28	14.523	17.399	21.778	7.499	2.182	1.875	1.919	16.636	13.957	15.654	22.012	6.849	2.637	2.309	12.671	13.504	9.8	18.978	12.428	11.611	10.557	17.941	11.782	12.681	10.568	18.899
16.83932	0.951	15.774	14.519	18.126	22.207	7.418	2.23	1.904	1.934	16.379	16.497	17.894	21.737	7.614	2.288	1.953	1.942	16.533	14.277	16.803	22.341	7.075	2.574	2.475	12.908	13.738	10.258	19.191	13.375	12.071	10.416	18.38	11.816	12.914	10.969	20.365
17.00589	1.094	16.144	15.773	18.468	22.008	7.817	2.173	1.79	1.82	16.407	16.982	17.866	21.794	7.671	2.288	2.067	1.999	17.017	15.075	17.687	22.084	7.417	2.631	2.389	13.335	13.225	10.115	20.844	13.774	12.327	11.072	19.149	13.127	13.455	11.453	21.334
17.17271	1.147	15.825	16.537	18.661	22.257	7.927	2.341	1.986	1.902	16.657	18.03	17.973	22.043	7.894	2.456	2.063	2.024	17.125	16.181	17.709	22.134	7.726	2.713	2.557	14.099	13.647	10.851	21.521	14.31	12.436	11.437	19.912	13.207	13.165	11.876	23.094
17.33923	1.567	15.727	18.176	18.619	22.299	8.089	2.334	1.951	1.837	17.099	19.185	18.216	21.943	8.14	2.449	2.199	2.272	17.197	17.308	17.354	22.148	7.717	2.648	2.634	14.171	13.806	11.268	21.848	14.553	12.937	11.854	20.496	13.537	13.21	12.007	22.736
17.50604	1.305	15.699	19.424	18.759	22.459	8.418	2.419	1.951	2.056	16.523	20.061	18.697	22.104	8.493	2.588	2.167	2.152	17.051	17.932	17.807	22.423	7.96	2.956	2.628	14.881	14.578	11.647	20.842	15.008	12.602	11.636	22.622	13.996	13.643	12.557	21.133
17.67267	1.373	15.86	20.583	18.693	22.396	8.517	2.571	2.046	2.04	16.402	21.135	18.348	22.212	8.508	2.684	2.206	2.078	16.531	19.403	18.652	22.36	8.23	2.939	2.611	15.925	14.34	12.033	20.494	15.824	13.046	12.277	21.876	15.749	13.916	13.057	21.24
17.83936	1.21	16.072	21.394	19.133	22.525	8.896	2.606	2.052	2.077	16.359	21.719	18.56	21.942	9.145	2.976	2.213	2.228	16.658	20.384	18.494	22.289	8.496	2.975	2.647	16.337	14.266	12.471	20.594	15.951	13.142	12.886	21.151	15.278	13.273	13.495	21.568
18.00607	1.715	16.23	22.66	18.835	22.567	9.2	2.599	2.102	2.154	16.402	23.24	18.433	22.354	9.248	2.684	2.263	2.22	17.213	21.394	18.822	22.332	8.742	3.024	2.526	17.205	13.913	13.029	21.262	16.678	12.875	13.558	22.132	15.01	13.262	13.683	21.325
18.17265	1.738	15.556	22.592	19.046	22.897	9.342	2.761	2.207	2.093	16.101	24.455	18.33	22.313	9.621	2.904	2.369	2.101	17.111	22.464	19.148	22.404	9.027	2.99	2.577	17.134	14.119	13.148	20.737	16.462	13.479	14.19	21.237	15.218	14.122	14.059	21.882
18.33931	1.413	15.793	24.22	18.628	22.789	9.755	2.751	2.141	2.166	16.366	25.057	18.823	22.149	9.634	2.808	2.359	2.232	16.92	24.007	19.156	22.439	9.269	3.121	2.651	16.686	14.472	13.558	20.886	16.812	13.29	14.201	21.5	15.284	13.45	14.867	21.831
18.50607	1.47	16.106	24.704	19.055	22.76	9.869	2.865	2.226	2.308	16.081	24.944	18.652	22.319	10.146	3.008	2.302	2.261	16.892	24.548	19.241	22.525	9.725	3.206	2.765	17.625	14.557	14.27	21.569	17.638	13.376	14.77	21.073	16.281	13.621	15.209	21.29
18.67282	1.521	16.03	24.724	19.437	22.806	10.411	2.857	2.36	2.333	16.322	25.705	18.578	22.45	10.35	3.086	2.608	2.455	16.704	24.853	19.454	22.484	9.926	3.514	2.931	17.782	14.508	14.79	21.328	17.252	13.581	15.006	21.886	16.662	14.481	16.128	21.647
18.8395	1.592	15.72	25.262	19.438	22.718	10.562	2.957	2.347	2.317	16.095	25.729	19.207	22.505	10.613	3.1	2.451	2.354	16.592	25.504	19.227	22.454	10.333	3.328	2.744	17.924	14.996	15.507	21.242	18.136	13.216	15.551	21.828	17.632	14.287	16.787	22.017
19.00606	1.618	15.415	25.537	19.1	22.942	10.892	2.959	2.377	2.398	16.04	25.407	19.124	22.445	10.796	3.214	2.48	2.55	16.596	25.78	19.171	22.565	10.377	3.496	2.827	18.435	15.09	15.6	21.013	18.364	12.858	16.185	21.797	17.436	14.07	17.135	22.071
19.17276	1.421	15.834	25.233	19.353	23.003	11.132	3.128	2.261	2.545	16.095	25.472	18.893	22.505	11.553	3.527	2.565	2.696	16.506	25.874	19.398	22.796	10.874	3.527	3.029	18.152	15.053	16.019	21.384	18.392	13.928	16.89	21.913	18.231	14.8	17.642	22.045
19.33941	1.711	16.138	25.611	19.113	22.929	11.386	3.193	2.497	2.491	15.968	25.992	18.597	22.688	12.03	3.42	2.572	2.672	16.979	25.625	19.441	22.865	10.899	3.561	3.005	18.905	15.016	16.636	21.71	19.288	13.552	17.535	22.466	17.933	14.28	18.285	22.598
19.50614	1.789	15.841	25.822	18.986	22.743	11.689	3.215	2.548	2.454	15.983	25.691	18.925	22.445	12.047	3.327	2.707	2.635	16.596	26.405	19.285	22.821	11.344	3.837	2.969	18.89	15.004	16.965	21.496	19.359	14.393	17.778	21.683	18.489	14.667	18.841	22.128
19.67273	1.8	16.059	25.278	19.291	23.051	12.159	3.396	2.672	2.467	16.345	25.346	18.888	22.695	12.321	3.765	2.661	2.676	16.701	26.174	19.818	23.1	11.559	3.735	3.066	19.766	15.136	17.61	21.291	19.751	14.297	18.224	22.645	19.164	14.116	19.715	22.52
19.83947	1.739	15.711	25.44	19.113	23.128	12.581	3.478	2.64	2.52	16.338	25.793	18.882	22.602	12.514	3.676	2.714	2.672	16.865	25.967	19.128	23.121	12.35	4.016	3.176	20.271	15.386	18.115	21.625	20.455	13.808	19.213	21.556	19.157	14.565	19.935	22.001
20.00625	1.893	15.816	26.119	19.418	23.294	12.597	3.602	2.564	2.617	16.359	25.106	19.101	22.625	12.76	3.773	2.839	2.826	17.085	26.077	19.462	23.143	11.968	3.857	3.017	20.607	15.12	18.79	21.818	20.904	14.48	19.234	21.977	19.861	14.27	20.526	21.909
20.173	1.836	16.072	25.294	19.304	23.066	13.081	3.602	2.764	2.589	15.989	25.96	18.532	22.967	13.471	3.687	2.896	2.826	16.658	26.248	19.633	23.4	12.623	4.113	3.33	20.465	14.978	19.331	21.106	21.417	14.224	20.116	21.977	19.946	15.18	20.782	21.824
20.33949	1.882	16.024	25.213	19.625	23.271	13.292	3.677	2.867	2.776	15.826	25.622	18.967	22.972	13.652	3.875	2.828	2.729	16.979	26.337	19.555	23.377	13.118	4.016	3.176	21.693	15.301	20.249	21.084	21.251	14.661	20.863	22.068	20.038	14.679	21.472	21.631
20.50615	2.019	15.749	25.575	19.752	23.317	13.695	3.584	2.859	2.602	16.294	25.558	19.007	23.018	14.002	3.898	2.936	2.952	16.905	25.504	19.255	23.508	13.637	4.04	3.2	21.314	15.167	20.89	21.983	21.639	14.071	21.305	22.17	20.652	14.629	20.832	22.102
20.6729	1.95	16.1	25.721	19.133	23.664	14.077	3.773	3.02	2.788	16.017	25.647	19.272	23.194	14.183	4.114	3.067	2.94	16.999	26.191	19.661	23.656	13.904	4.426	3.587	21.916	15.462	20.868	21.277	21.673	14.423	21.625	22.062	20.886	14.867	20.782	21.852
20.83957	2.101	15.926	24.741	19.384	23.454	14.646	3.812	3.003	2.909	15.955	25.691	19.209	23.298	14.834	4.209	2.878	3.005	16.681	26.235	19.257	23.646	13.96	4.434	3.509	21.848	15.687	19.78	21.439	21.662	14.45	20.735	21.854	20.906	14.809	20.405	21.787
21.00619	2.158	15.585	25.168	19.725	23.454	14.56	3.926	2.917	2.852	16.125	25.179	19.01	23.327	15.374	4.379	3.247	3.005	16.71	25.893	19.086	23.646	14.642	4.491	3.424	22.445	15.687	20.576	21.013	22.373	14.45	21.104	21.968	20.934	14.582	21.03	21.901
21.1729	2.194	15.939	25.042	19.398	23.384	15.312	4.018	3.095	2.861	15.883	25.196	18.938	23.513	15.387	4.416	3.056	3.269	16.695	26.223	19.64	23.917	14.683	4.528	3.489	22.461	16.154	20.05	21.283	22.104	14.718	20.408	22.21	21.518	14.565	21.215	21.802
21.33958	2.414	15.955	25.338	19.526	23.824	15.385	4.381	3.287	2.995	16.068	25.407	18.84	23.668	15.488	4.465	3.276	3.261	16.34	25.979	19.257	23.817	15.012	4.633	3.595	21.933	16.199	20.718	21.269	22.458	14.393	20.65	21.854	21.759	15.179	20.775	21.73
21.50632	2.194	15.584	25.327	19.189	23.723	15.866	4.129	3.319	2.976	15.93	25.509	19.185	23.538	15.86	4.585	3.31	3.098	16.598	25.883	19.832	23.971	15.352	4.842	3.688	22.262	16.028	20.698	20.879	22.331	14.789	20.999	21.921	22.14	15.148	21.095	21.625
21.67296	2.23	15.426	25.714	19.174	24.081	16.22	4.393	3.383	3.156	16.4	25.326	19.113	23.981	15.902	4.679	3.374	3.278	16.754	26.64	19.875	24.072	16.02	4.765	3.725	22.905	15.243	20.484	21.008	23.316	15.229	21.156	22.05	21.899	15.046	21.024	21.982
21.83957	2.061	15.851	25.484	19.449	23.886	16.419	4.341	3.248	2.982	15.934	25.07	19.132	23.815	16.321	4.481	3.52	3.248	16.662	26.039	19.918	24.049	15.932	4.678	3.724	23.102	15.753	21.123	21.247	22.974	14.859	20.657	22.287	22.418	15.075	20.924	21.31
22.00623	2.183	16.034	25.501	19.605	23.873	16.403	4.633	3.426	3.275	15.863	25.427	18.918	24.115	16.164	4.66	3.443	3.513	16.533	26.113	19.961	24.235	16.115	5.027	3.761	22.891	15.624	20.967	21.318	22.791	15.24	21.694	22.131	21.751	15.315	20.91	21.979
22.17297	2.272	15.87	24.798	19.299	24.051	16.608	4.637	3.344	3.194	15.869	25.776	18.697	24.095	16.455	4.977	3.446	3.574	16.539	26.49	20.024	24.414	15.865	5.287	3.936	23.212	15.857	20.661	21.496	23.34	14.905	21.161	21.712	21.417	15.577	20.917	21.645
22.33955	2.483	15.56	25.845	19.499	24.105	16.299	4.622	3.415	3.091	16.268	24.834	19.182	24.092	16.712	5.074	3.659	3.5	16.428	26.258	20.025	24.439	16.38	5.1	4.033	23.009	15.264	20.973	21.041	23.194	14.938	21.161	21.597	22.467	15.325	20.916	21.615
22.50623	2.329	15.883	24.827	19.763	24.394	16.905	4.696	3.518	3.249	15.765	25.207	19.02	24.21	16.578	5.034	3.732	3.488	16.834	25.324	20.06	24.501	16.702	5.172	4.077	22.899	15.671	20.185	20.763	23.51	14.92	21.31	22.058	21.45	15.222	21.207	21.906
22.67305	2.561	15.93	25.601	19.552	24.205	16.641	4.957	3.752	3.28	15.781	25.385	18.611	24.277	16.963	5.01	3.709	3.519	16.596	26.098	20.046	24.539	16.748	5.175	3.967	22.934	15.606	20.625	20.663	22.78	15.053	21.436	21.872	22.171	15.072	20.597	21.805
22.8396	2.504	16.088	25.233	19.798	24.459	16.741	5.069	3.777	3.395	16.084	25.187	18.743	24.417	17.039	5.35	3.736	3.577	16.557	25.418	20.067	24.623	16.822	5.375	4.11	23.021	15.82	20.618	21.14	23.433	15.295	21.658	21.554	22.48	15.199	21.555	22.027
23.00632	2.476	15.533	25.573	19.467	24.432	16.698	5.354	3.78	3.365	15.781	25.215	18.753	24.362	16.963	5.407	4.277	3.69	16.596	26.608	20.556	24.539	16.521	5.572	4.222	22.282	15.606	20.625	21.174	22.78	14.912	21.181	21.702	21.83	15.072	20.682	21.805
23.17296	2.853	15.731	25.05	19.584	24.588	16.327	5.048	3.983	3.404	15.956	25.061	19.125	24.518	16.769	5.614	4.113	3.671	16.655	26.088	19.996	24.468	17.005	5.554	4.431	22.668	15.861	20.604	21.296	22.767	15.137	21.047	21.654	22.581	15.467	21.542	21.672
23.33969	2.507	15.711	25.184	19.654	24.721	17.047	5.156	3.977	3.515	15.997	25.025	19.251	24.622	17.407	5.61	4.051	3.753	16.723	25.739	20.551	24.884	17.357	5.922	4.655	22.632	15.301	20.903	21.17	23.157	15.742	21.09	21.556	23.253	15.987	20.846	21.83
23.50633	2.796	15.901	25.59	19.499	25.015	16.498	5.304	4.182	3.432	16.041	25.63	18.926	24.66	16.769	5.5	4.227	3.813	16.428	25.519	19.854	24.553	17.09	5.839	4.431	22.696	15.747	20.803	21.154	23.052	15.307	21.644	21.682	22.95	15.467	21.399	21.871
23.67312	2.682	15.956	24.597	19.575	25.158	17.092	5.618	4.386	3.712	16.088	25.118	18.663	24.663	16.419	6.01	4.399	3.867	16.563	25.405	20.407	24.501	16.886	6.032	4.711	22.072	15.518	21.184	21.109	22.939	15.051	21.032	21.891	23.181	15.467	21.525	21.57
23.83974	2.913	15.779	24.916	19.998	24.995	17.426	5.394	4.245	3.747	15.887	25.58	19.085	24.726	16.728	6.214	4.601	3.958	16.616	25.697	20.152	24.506	17.222	5.869	4.604	22.448	15.539	20.845	20.855	22.719	15.072	21.118	21.894	22.761	15.913	20.93	21.884
24.00638	2.913	15.722	24.547	20.338	24.995	17.255	5.678	4.387	3.576	15.887	25.58	18.858	24.386	17.494	6.128	4.601	4.156	16.616	26.038	19.982	24.762	17.136	6.039	4.774	22.193	15.738	20.987	20.685	22.294	15.526	21.259	21.553	23.187	15.289	21.583	21.799
24.17311	3.144	15.656	24.839	20.07	25.032	17.132	5.654	4.393	3.749	15.676	24.794	19.186	24.594	17.141	5.99	4.491	4.131	16.605	25.676	20.337	24.799	17.409	6.438	4.72	22.258	15.955	20.858	21.464	22.331	15.234	21.074	21.85	22.941	15.508	21.256	21.84
24.33989	3.104	16.078	24.73	20.069	25.036	16.789	5.755	4.663	3.766	15.902	25.138	19.497	24.625	16.658	6.375	4.536	3.864	16.603	25.681	20.053	24.632	16.783	6.144	5.021	21.865	16.037	21.057	21.153	22.533	15.343	21.16	21.936	22.916	15.334	21.739	21.727
24.50654	2.93	15.845	24.608	19.807	24.858	17.038	5.978	4.574	3.762	15.951	24.96	19.462	24.674	17.501	6.683	4.957	4.2	16.454	25.616	20.216	24.653	17.457	6.536	4.846	21.828	16.201	20.965	20.805	21.731	14.968	21.578	21.616	22.71	15.157	21.278	21.691
24.67308	2.934	15.936	25.411	19.842	25.036	16.902	5.812	4.692	3.908	15.958	25.507	19.242	24.767	17.395	6.347	5.131	4.289	16.376	25.426	20.28	24.661	17.294	6.569	5.219	21.95	15.3	20.802	20.841	22.476	15.088	21.16	21.964	22.661	15.674	21.342	21.557
24.83977	2.974	16.025	24.669	20.155	25.259	16.934	6.278	4.677	3.749	16.016	25.219	19.696	24.679	17.679	6.67	4.888	4.187	16.661	25.336	20.45	24.743	17.523	6.891	5.088	22.003	15.417	20.717	21.067	22.331	16.055	21.131	21.736	22.233	15.735	21.454	21.84
25.00657	3.185	15.917	24.835	20.139	25.027	17.025	6.233	5.055	4.048	15.914	25.102	19.68	24.559	17.38	7.026	5.071	4.514	16.557	25.162	20.238	24.537	17.844	6.653	5.473	21.544	15.848	21.215	20.799	21.445	15.465	21.288	22.179	22.622	15.881	21.697	21.942
25.17316	3.249	15.559	24.682	19.971	25.016	17.035	6.157	5.292	3.967	16.116	24.778	19.767	24.578	17.438	6.775	5.362	4.292	16.393	25.575	20.606	24.642	17.679	6.514	5.25	21.448	16.0	21.099	21.052	22.032	15.136	21.57	21.552	21.849	15.581	21.072	21.485
25.33982	3.136	15.842	25.135	19.943	24.903	16.922	6.44	5.151	4.08	16.116	24.721	19.513	24.578	17.438	6.945	5.192	4.632	16.393	25.32	20.577	24.614	17.651	6.882	5.335	21.958	15.178	21.269	21.307	22.032	15.108	21.627	22.061	22.614	15.496	21.723	22.023
25.50651	3.525	15.788	24.552	19.892	25.226	17.038	6.545	5.283	3.932	15.951	24.762	19.802	24.674	17.246	7.08	5.609	4.285	16.511	25.332	20.301	24.625	16.947	7.359	5.64	21.999	15.124	21.419	20.89	21.901	15.337	21.493	21.957	21.83	15.242	21.504	21.777
25.67317	3.768	15.6	24.273	19.985	25.089	17.161	6.59	5.357	4.089	15.931	24.794	19.555	24.565	17.452	7.378	5.398	4.584	16.265	25.591	19.77	24.743	17.579	7.26	5.683	21.748	15.275	20.943	20.897	21.849	15.63	21.584	21.509	22.488	15.224	21.624	21.925
25.83984	3.246	15.88	24.985	20.012	25.121	17.186	6.89	5.543	4.163	15.987	24.883	19.667	24.824	17.508	7.567	5.699	4.488	16.518	25.539	20.564	24.746	17.606	7.364	5.73	21.695	15.101	21.086	21.238	22.278	15.258	21.358	21.794	22.519	15.447	21.256	22.124
26.00661	3.311	16.05	24.348	20.131	24.994	17.186	6.956	5.692	4.374	16.019	24.757	19.7	24.838	17.685	7.892	5.964	4.328	16.69	25.499	20.259	24.618	17.978	7.718	6.197	22.164	15.1	21.151	20.877	22.292	15.2	22.077	21.69	21.963	14.962	21.236	21.793
26.17328	3.535	15.731	24.283	19.982	25.185	17.577	6.554	5.688	4.37	15.956	24.578	19.637	24.83	17.536	7.432	5.903	4.608	16.57	24.837	20.11	24.752	17.687	7.486	5.993	22.327	15.179	20.86	20.813	22.057	14.853	21.417	21.739	21.87	15.325	21.229	21.672
26.33992	3.49	15.92	24.022	20.173	25.01	17.227	7.22	5.899	4.327	16.033	24.887	19.402	24.797	17.159	7.73	6.087	4.65	16.789	24.663	20.017	24.719	17.536	7.415	6.206	21.754	14.998	21.336	20.892	22.251	15.553	21.751	21.506	21.723	15.485	21.592	21.95
26.50659	3.324	15.756	24.4	20.067	25.217	17.404	6.968	5.875	4.416	15.898	24.184	19.494	24.919	17.763	8.076	5.977	4.711	16.625	24.87	19.882	24.954	17.827	7.591	6.211	21.677	14.606	21.258	20.928	22.316	15.73	21.247	21.712	21.844	15.975	21.002	21.73
26.67317	3.469	15.747	24.409	19.883	24.999	17.621	7.114	6.021	4.531	16.084	24.222	19.68	24.758	17.295	7.963	6.377	4.798	16.67	24.907	20.493	24.907	17.787	7.789	6.353	21.913	15.053	21.101	20.941	22.269	15.295	21.402	21.895	21.77	15.881	20.959	22.169
26.83993	3.624	15.908	23.751	20.074	25.222	17.413	7.41	6.317	4.488	15.849	24.075	19.615	24.98	17.742	8.431	6.504	4.811	16.861	24.561	20.117	24.987	17.438	7.662	6.623	21.596	14.986	21.208	21.162	21.894	15.114	21.509	21.86	21.565	14.962	21.179	21.452
27.0065	3.738	15.68	24.149	19.875	25.108	17.641	7.354	6.374	4.46	15.849	24.53	19.445	25.037	17.685	8.176	6.703	4.726	16.52	25.016	20.259	24.987	17.694	8.23	6.481	22.022	14.986	20.981	21.048	22.463	14.944	21.424	21.747	21.651	15.047	21.407	21.935
27.17327	3.674	15.854	23.79	19.739	25.319	17.445	7.403	6.508	4.596	16.139	24.74	19.65	24.935	17.891	8.597	6.725	5.146	16.552	24.943	20.38	24.856	17.641	8.397	6.59	21.977	15.102	20.989	21.027	22.019	14.804	21.603	22.04	22.513	15.276	21.016	21.972
27.33993	3.689	15.693	24.364	20.088	25.124	17.483	7.931	6.496	4.753	15.976	24.204	19.487	24.797	17.471	8.498	6.712	5.161	16.618	24.663	20.188	24.946	17.593	8.439	6.974	21.754	14.856	21.137	20.977	22.081	15.212	21.438	21.676	22.149	14.888	21.364	21.808
27.50655	4.061	15.736	23.651	19.766	25.066	17.101	7.591	6.81	4.871	15.768	24.26	19.193	24.853	17.378	8.559	6.629	5.165	16.465	24.349	20.152	25.058	18.038	8.018	7.206	21.64	14.13	21.274	21.199	22.108	14.856	20.977	21.585	21.975	15.471	21.216	22.201
27.67327	3.877	15.718	23.627	19.746	25.241	17.167	8.034	6.712	4.942	15.804	24.066	19.913	24.829	17.272	9.086	7.441	5.35	16.445	24.41	20.16	24.949	17.136	8.544	6.765	21.644	14.937	21.195	21.205	22.34	14.582	21.382	21.819	22.35	14.941	21.621	22.008
27.83998	3.874	15.812	23.76	20.129	25.005	17.319	8.345	7.164	5.027	15.617	23.572	19.441	24.877	17.228	9.086	7.355	5.207	16.484	24.458	20.117	25.025	17.488	8.431	7.363	21.749	15.43	21.125	21.05	22.701	14.846	21.483	21.693	22.482	15.148	21.181	21.511
28.00656	4.019	16.059	23.684	20.087	25.441	17.537	8.119	7.423	4.828	15.719	23.753	19.6	25.028	17.528	9.228	7.697	5.236	16.644	24.41	20.216	24.864	17.933	8.885	7.277	22.042	15.136	20.598	21.092	22.482	15.094	21.354	22.047	22.948	14.599	21.052	21.581
28.17333	3.93	15.939	24.388	20.08	25.262	17.673	8.371	7.248	4.909	15.798	23.859	19.337	24.992	17.663	9.052	7.607	5.516	16.609	24.488	20.209	24.97	17.442	8.88	7.728	22.632	14.789	20.733	20.828	22.56	14.832	21.688	21.641	22.599	15.02	21.187	21.546
28.34001	4.12	15.784	23.575	19.811	25.303	17.489	8.561	7.325	4.928	15.869	23.558	19.38	25.09	17.564	9.498	7.57	5.422	16.511	23.988	20.309	24.84	17.429	9.467	7.775	22.274	15.289	20.889	21.013	23.084	14.479	21.161	21.769	22.754	14.638	20.86	21.901
28.50679	3.857	15.787	23.273	19.93	25.286	16.923	8.242	7.688	5.037	16.017	23.768	19.499	25.044	17.912	9.522	8.247	5.188	16.487	24.284	20.487	25.079	17.917	9.18	8.169	22.514	14.893	20.754	20.765	22.527	15.078	21.368	22.176	22.053	14.839	20.981	21.596
28.6734	4.127	15.72	23.439	19.951	25.31	16.942	8.796	7.815	5.108	15.867	23.536	19.264	24.955	17.62	9.651	8.347	5.515	16.734	24.137	20.195	24.818	17.311	8.996	7.843	21.94	14.654	20.605	21.043	21.867	15.21	21.134	21.828	22.304	14.543	20.575	21.59
28.83997	4.146	15.793	23.879	19.738	25.38	17.442	8.759	7.949	5.212	15.739	23.435	19.449	24.967	17.292	9.897	8.167	5.677	16.664	24.263	20.01	25.087	17.582	9.413	8.089	22.095	14.785	20.534	20.886	22.193	14.771	21.404	21.899	22.06	15.272	21.159	21.774
29.0067	4.177	15.614	23.234	19.811	25.246	16.864	8.902	8.292	5.298	15.727	23.502	19.408	25.175	16.967	9.924	8.792	5.735	16.426	24.244	20.309	24.869	17.969	9.581	8.372	21.961	14.919	20.747	20.928	22.458	14.877	21.19	21.627	21.759	14.98	21.343	21.616
29.1734	4.133	15.718	23.229	20.03	25.526	17.252	9.001	8.334	5.284	15.804	23.61	19.742	25.028	17.329	10.195	8.636	5.749	16.531	23.927	20.558	25.063	17.449	10.052	8.415	21.729	14.937	20.768	20.409	22.112	14.383	21.439	21.45	21.611	14.77	20.967	21.752
29.34008	4.47	15.882	23.221	19.91	25.404	17.502	9.082	8.272	5.279	15.741	23.603	19.564	25.248	17.151	10.759	8.489	5.772	16.353	24.232	19.953	25.027	17.528	9.847	8.666	21.864	15.016	21.017	20.515	21.848	14.292	20.834	21.556	21.916	14.821	21.102	21.83
29.50684	4.286	15.75	23.312	20.003	25.579	17.028	9.267	8.628	5.549	15.806	23.38	19.402	25.252	17.045	10.402	8.901	5.588	16.59	23.867	20.216	25.003	17.366	10.088	8.821	21.584	15.027	20.654	20.75	21.995	14.814	21.097	21.278	21.836	14.746	20.91	21.78
29.67345	4.376	15.671	23.149	20.067	25.758	17.063	9.272	9.258	5.554	15.869	23.388	19.465	25.147	17.222	11.545	9.247	5.735	16.283	23.704	20.28	25.039	16.86	9.865	8.77	21.194	14.237	20.576	20.757	21.833	14.308	21.104	21.456	21.332	14.752	20.661	21.645
29.84018	4.47	15.711	23.051	20.194	25.66	17.331	9.281	8.813	5.563	15.968	23.432	19.308	25.333	17.435	11.101	9.03	6.0	16.78	23.976	20.124	24.97	17.385	10.189	9.548	21.209	14.248	20.391	20.743	21.564	14.576	20.92	21.3	21.916	14.423	21.016	21.915
