	MG1655-1	PUTR3-1_1	PUTR4-3_1	PUTR5-6_1	PUTR7-7_1	PUTR8-10_1	cspC-1	proV-1	MG1655-2	PUTR3-1_2	PUTR4-3_2	PUTR5-6_2	PUTR7-7_2	PUTR8-10_2	cspC-2	proV-2	MG1655-3	PUTR3-1_3	PUTR4-3_3	PUTR5-6_3	PUTR7-7_3	PUTR8-10_3	cspC-3	proV-3	yeaR-1	pstS-1	proV_cspC-1	proV_yobF-1	proV_nagC-1	proV_wbbK-1	proV_ptsP-1	proV_ptsP_wbbK-1	yeaR-2	pstS-2	proV_cspC-2	proV_yobF-2	proV_nagC-2	proV_wbbK-2	proV_ptsP-2	proV_ptsP_wbbK-2	yeaR-3	pstS-3	proV_cspC-3	proV_yobF-3	proV_nagC-3	proV_wbbK-3	proV_ptsP-3	proV_ptsP_wbbK-3
11.00541	0.769	0.763	1.446	2.275	3.226	0.613	0.803	0.295	0.599	0.468	1.362	2.274	1.726	2.86	0.745	0.432	0.683	0.577	1.397	1.991	1.793	3.193	0.969	0.705	0.539	0.426	0.885	0.763	0.404	0.77	0.271	0.615	0.567	0.842	1.013	0.902	0.403	0.811	0.432	0.491	0.857	0.717	0.564	0.54	0.087	0.609	0.299	0.472
11.17202	0.701	0.828	1.404	2.26	3.482	0.623	0.759	0.441	0.747	0.561	1.402	2.693	1.792	3.09	0.946	0.443	0.695	0.701	1.491	2.003	1.94	3.503	1.144	0.826	0.634	0.416	1.005	0.748	0.416	0.89	0.283	0.628	0.69	0.776	1.025	0.832	0.333	0.821	0.524	0.449	0.707	0.73	0.549	0.552	0.126	0.539	0.283	0.645
11.33869	0.692	0.744	1.533	2.497	3.554	0.596	0.893	0.359	0.74	0.661	1.446	2.466	1.946	3.052	0.887	0.549	0.687	0.63	1.484	2.13	1.851	3.629	1.11	0.846	0.839	0.396	1.026	0.875	0.302	0.831	0.25	0.457	0.621	0.656	1.02	0.963	0.41	0.846	0.25	0.416	0.621	0.694	0.382	0.519	0.255	0.562	0.279	0.56
11.50549	0.786	0.727	1.626	2.671	3.891	0.606	0.904	0.666	0.887	0.62	1.541	2.669	1.959	3.309	0.817	0.668	0.7	0.754	1.712	2.305	2.026	3.831	1.176	0.696	0.583	0.305	0.957	0.888	0.341	0.869	0.289	0.443	0.636	0.589	0.923	0.866	0.394	0.776	0.504	0.482	0.686	0.842	0.609	0.585	0.105	0.519	0.29	0.571
11.6721	0.71	0.782	1.738	2.513	4.005	0.495	0.902	0.529	0.702	0.652	1.521	2.596	1.964	3.317	0.765	0.505	0.705	0.687	1.662	2.31	2.139	4.0	1.478	0.7	0.563	0.456	0.933	0.947	0.344	0.871	0.292	0.557	0.594	0.678	1.033	0.895	0.368	0.748	0.29	0.458	0.905	0.659	0.558	0.534	0.054	0.521	0.319	0.356
11.8389	0.699	0.803	1.755	2.638	4.235	0.52	0.872	0.418	0.746	0.776	1.696	2.878	2.115	3.545	0.839	0.473	0.694	0.638	1.706	2.38	2.101	4.283	1.089	0.798	0.684	0.485	0.978	0.828	0.254	0.783	0.364	0.544	0.629	0.717	1.025	0.942	0.389	0.932	0.418	0.476	0.788	0.754	0.63	0.525	0.153	0.487	0.285	0.485
12.00549	0.84	0.727	1.842	2.725	4.566	0.714	0.823	0.531	0.725	0.701	1.703	3.047	2.256	3.714	0.844	0.938	0.7	0.727	1.901	2.359	2.35	4.56	1.176	0.723	0.691	0.413	0.984	0.969	0.314	0.842	0.289	0.605	0.744	0.751	1.004	0.947	0.313	0.857	0.315	0.482	0.794	0.896	0.555	0.504	0.078	0.519	0.263	0.571
12.17211	0.759	0.835	2.112	2.995	4.728	0.795	0.877	0.423	0.833	0.755	1.892	2.912	2.472	4.065	0.817	0.587	0.673	0.727	1.982	2.629	2.593	4.803	1.203	0.615	0.772	0.332	0.984	0.969	0.341	1.004	0.343	0.551	0.825	0.724	1.085	0.947	0.421	0.857	0.396	0.482	0.713	0.626	0.474	0.504	0.186	0.6	0.263	0.49
12.3388	0.825	0.923	2.393	2.952	4.932	0.582	0.853	0.453	0.79	0.739	2.231	2.927	2.484	4.163	1.014	0.618	0.738	0.776	2.102	2.831	2.633	4.926	1.24	0.733	0.705	0.437	0.939	1.034	0.377	0.904	0.46	0.51	0.71	0.685	1.039	0.982	0.455	0.916	0.43	0.437	0.803	0.882	0.564	0.567	0.141	0.634	0.379	0.605
12.50548	0.779	0.911	2.214	3.151	5.207	0.601	0.872	0.445	0.8	0.857	2.209	3.336	2.6	4.03	0.892	0.581	0.694	0.8	2.246	2.784	2.748	5.308	1.116	0.69	0.684	0.458	1.032	0.963	0.389	0.945	0.283	0.598	0.791	0.636	1.025	1.05	0.416	0.878	0.391	0.503	0.788	0.754	0.522	0.498	0.18	0.568	0.258	0.485
12.67216	0.86	0.992	2.295	3.151	5.341	0.709	0.818	0.525	0.827	0.857	2.344	3.309	2.762	4.543	1.0	0.473	0.856	0.8	2.246	2.892	2.91	5.443	1.089	0.717	0.738	0.458	1.032	0.99	0.308	0.864	0.364	0.625	0.737	0.663	0.998	0.969	0.47	0.851	0.418	0.557	0.761	0.889	0.441	0.579	0.18	0.649	0.258	0.62
12.83885	0.811	1.08	2.838	3.29	5.64	0.637	0.881	0.561	0.778	0.969	2.454	3.473	2.9	4.786	0.818	0.644	0.753	0.934	2.465	3.192	3.048	5.795	1.31	0.776	0.822	0.455	0.93	0.886	0.53	0.924	0.316	0.575	0.71	0.611	0.978	0.949	0.315	0.913	0.452	0.536	0.849	0.812	0.502	0.477	0.16	0.575	0.265	0.546
13.00548	0.847	1.008	2.606	3.461	5.893	0.618	0.861	0.434	0.895	0.925	2.518	3.618	2.991	5.013	0.908	0.652	0.681	0.892	2.556	3.122	3.139	5.86	1.185	0.786	0.886	0.522	1.02	0.95	0.404	0.933	0.433	0.585	0.721	0.702	1.014	0.93	0.378	1.002	0.46	0.491	0.831	0.876	0.511	0.432	0.142	0.637	0.273	0.474
13.17218	0.86	1.1	2.861	3.555	6.313	0.709	0.818	0.445	0.719	0.992	2.613	3.714	3.194	5.272	0.892	0.473	0.775	0.989	2.812	3.216	3.396	6.442	1.116	0.69	0.684	0.458	0.978	0.909	0.416	0.864	0.445	0.544	0.71	0.663	1.106	0.861	0.416	0.878	0.472	0.476	0.68	0.889	0.63	0.498	0.099	0.649	0.339	0.647
13.33888	0.773	1.175	3.044	3.765	6.548	0.596	1.001	0.493	0.793	1.093	2.795	3.734	3.268	5.534	0.887	0.495	0.741	0.954	2.967	3.29	3.659	6.839	1.029	0.657	0.839	0.45	1.026	0.875	0.329	0.858	0.277	0.592	0.729	0.71	1.02	0.963	0.464	0.846	0.466	0.551	0.836	0.991	0.516	0.438	0.228	0.562	0.279	0.452
13.50549	0.807	1.239	3.024	3.906	7.037	0.608	1.04	0.505	0.775	1.127	3.097	3.927	3.651	5.698	1.031	0.614	0.722	1.118	3.19	3.485	3.61	7.246	1.226	0.773	0.791	0.505	0.954	1.018	0.312	0.841	0.394	0.518	0.76	0.634	1.083	0.946	0.367	0.911	0.476	0.479	0.9	0.863	0.607	0.555	0.157	0.572	0.316	0.597
13.67226	0.862	1.378	3.32	3.853	7.167	0.669	0.938	0.458	0.75	1.101	3.229	4.085	3.704	6.043	0.927	0.674	0.724	1.005	3.216	3.323	4.147	7.618	1.148	0.829	0.79	0.551	0.903	0.939	0.288	0.979	0.478	0.653	0.729	0.768	1.06	0.923	0.344	0.836	0.426	0.536	0.822	0.863	0.556	0.397	0.268	0.63	0.212	0.494
13.83886	0.925	1.463	3.357	4.159	7.561	0.642	0.967	0.567	0.811	1.245	3.243	4.316	3.905	6.25	0.959	0.541	0.759	1.184	3.335	3.603	4.241	8.013	1.074	0.702	0.882	0.545	0.963	0.947	0.401	0.849	0.322	0.662	0.636	0.699	1.092	1.008	0.402	0.865	0.377	0.461	0.774	0.9	0.508	0.483	0.166	0.634	0.324	0.552
14.00552	0.928	1.493	3.711	4.081	8.023	0.591	0.888	0.434	0.814	1.329	3.678	4.292	4.016	6.685	1.043	0.544	0.816	1.296	3.608	3.903	4.379	8.503	1.185	0.759	0.805	0.522	0.966	0.977	0.377	0.906	0.406	0.828	0.694	0.729	1.068	0.93	0.459	0.921	0.406	0.653	0.696	0.876	0.538	0.513	0.142	0.637	0.273	0.555
14.17216	0.805	1.644	3.72	4.199	8.562	0.747	0.882	0.455	0.773	1.313	3.467	4.243	4.238	7.115	1.005	0.537	0.721	1.243	3.697	3.938	4.493	8.851	1.306	0.799	0.868	0.628	0.847	0.909	0.366	0.949	0.367	0.703	0.725	0.683	1.03	0.974	0.342	0.914	0.504	0.587	0.712	0.86	0.472	0.447	0.265	0.6	0.236	0.572
14.33888	0.959	1.742	4.064	4.408	8.964	0.519	0.87	0.497	0.873	1.468	3.813	4.373	4.637	7.275	0.968	0.553	0.821	1.483	3.96	4.04	4.946	9.469	1.217	0.683	0.942	0.573	1.026	1.008	0.384	0.886	0.412	0.804	0.775	0.758	0.967	0.937	0.385	0.903	0.467	0.713	0.837	0.799	0.517	0.411	0.121	0.564	0.307	0.616
14.50564	0.799	1.8	4.17	4.515	9.602	0.58	0.877	0.638	0.686	1.522	3.97	4.638	4.688	7.886	1.026	0.532	0.769	1.449	4.201	4.012	4.996	9.945	1.219	0.712	0.915	0.458	0.975	0.983	0.36	1.024	0.442	0.804	0.798	0.65	1.024	0.888	0.363	0.908	0.418	0.581	0.813	0.907	0.547	0.549	0.178	0.595	0.311	0.567
14.67231	0.763	1.895	4.543	4.833	10.203	0.534	0.913	0.486	0.865	1.676	4.159	4.882	5.199	8.433	1.067	0.622	0.84	1.67	4.359	4.331	5.427	10.925	1.235	0.702	0.963	0.68	1.017	1.028	0.455	1.065	0.403	0.743	0.717	0.807	1.065	0.928	0.483	1.0	0.484	0.623	0.774	0.954	0.669	0.564	0.247	0.5	0.243	0.606
14.83892	0.838	2.158	4.671	4.907	10.868	0.61	0.988	0.669	0.859	1.723	4.421	5.062	5.353	8.828	0.98	0.563	0.833	1.742	4.729	4.297	5.662	11.481	1.068	0.695	0.902	0.536	1.038	0.94	0.369	0.978	0.424	0.737	0.71	0.692	1.221	0.949	0.369	1.021	0.533	0.482	0.822	0.974	0.529	0.585	0.133	0.629	0.265	0.6
15.00562	0.962	2.23	4.822	4.923	11.257	0.603	0.981	0.635	0.876	1.794	4.813	5.024	5.584	9.192	1.025	0.636	0.743	1.837	4.664	4.394	5.785	11.763	1.166	0.686	0.946	0.658	1.029	1.039	0.306	0.996	0.388	0.646	0.752	0.708	1.077	0.86	0.442	0.905	0.47	0.527	0.759	0.964	0.52	0.468	0.124	0.647	0.256	0.592
15.17237	0.898	2.434	5.217	5.237	12.225	0.588	0.913	0.351	0.865	2.0	4.941	5.232	5.819	9.889	0.959	0.541	0.894	1.993	5.06	4.736	6.263	12.892	1.235	0.917	0.909	0.545	1.098	0.974	0.401	1.092	0.43	0.662	0.771	0.699	1.092	1.035	0.402	0.919	0.484	0.569	0.747	0.954	0.588	0.564	0.166	0.634	0.324	0.606
15.33899	0.96	2.552	5.595	5.267	12.747	0.473	0.877	0.477	0.821	2.086	5.099	5.553	6.194	10.117	1.079	0.586	0.795	2.122	5.115	4.711	6.61	13.708	1.219	0.712	0.941	0.619	1.002	1.064	0.36	1.024	0.442	0.696	0.744	0.73	0.943	0.969	0.363	0.962	0.418	0.527	0.652	0.988	0.466	0.468	0.205	0.622	0.203	0.432
15.50564	0.888	2.802	5.718	5.415	13.8	0.635	0.878	0.424	0.855	2.286	5.495	5.597	6.588	10.925	0.869	0.614	0.83	2.25	5.21	4.832	6.897	14.682	1.091	0.773	0.899	0.532	0.927	0.964	0.312	1.083	0.34	0.599	0.76	0.688	0.921	0.946	0.367	0.992	0.449	0.56	0.765	0.89	0.66	0.474	0.13	0.572	0.235	0.516
15.67237	0.789	2.946	6.148	5.337	14.667	0.654	0.95	0.523	0.973	2.371	5.84	5.809	7.095	11.93	1.017	0.686	0.867	2.404	5.775	5.022	7.215	15.842	1.29	0.73	0.85	0.526	0.966	0.92	0.351	1.177	0.379	0.686	0.786	0.72	1.042	1.121	0.355	0.981	0.49	0.652	0.697	1.005	0.565	0.594	0.196	0.721	0.302	0.504
15.839	0.95	2.946	6.417	5.875	15.392	0.654	0.95	0.523	0.838	2.425	6.162	5.809	7.203	12.306	0.936	0.578	0.867	2.592	6.017	5.318	7.591	16.809	1.344	0.73	0.931	0.606	0.993	1.0	0.324	1.042	0.433	0.686	0.786	0.8	1.096	0.906	0.489	0.981	0.517	0.599	0.724	1.005	0.404	0.459	0.116	0.667	0.275	0.478
16.0058	0.899	3.459	6.587	5.962	16.303	0.595	0.973	0.654	0.92	2.699	6.227	6.008	7.644	13.349	1.016	0.628	0.895	2.793	6.187	5.433	8.222	17.562	1.211	0.892	1.016	0.645	1.101	1.029	0.297	1.069	0.406	0.716	0.848	0.778	1.042	1.013	0.433	1.005	0.542	0.68	0.831	1.008	0.565	0.486	0.142	0.746	0.301	0.503
16.17243	0.879	3.547	6.993	6.181	17.936	0.58	1.092	0.477	0.848	2.839	6.605	6.171	8.129	13.989	1.026	0.613	1.01	2.847	6.432	5.49	8.599	18.978	1.273	0.739	0.941	0.727	1.217	0.983	0.279	1.186	0.388	0.643	0.798	0.757	1.105	0.888	0.444	1.07	0.418	0.661	0.706	1.069	0.574	0.468	0.205	0.729	0.392	0.593
16.33902	0.896	3.886	7.202	6.47	18.8	0.62	0.97	0.57	0.917	3.099	7.03	6.515	8.663	15.066	1.094	0.787	0.892	3.031	6.829	5.671	8.944	20.328	1.234	0.808	1.04	0.56	1.071	0.999	0.455	1.066	0.403	0.713	0.844	0.775	1.146	1.064	0.511	1.056	0.54	0.623	0.801	1.005	0.589	0.618	0.112	0.636	0.298	0.581
16.50568	0.843	3.94	7.653	6.519	19.61	0.654	1.004	0.523	0.838	3.178	7.237	6.4	9.245	15.503	1.017	0.605	0.867	3.264	7.145	5.989	9.553	21.377	1.29	0.784	1.092	0.553	1.074	1.0	0.405	1.042	0.433	0.633	0.786	0.746	1.096	0.88	0.489	1.062	0.356	0.599	0.724	1.059	0.484	0.459	0.116	0.613	0.222	0.585
16.67241	0.866	4.42	8.078	6.757	21.189	0.597	1.028	0.601	0.808	3.416	7.313	6.853	9.589	17.029	1.068	0.602	0.863	3.394	7.598	5.905	10.058	22.686	1.207	0.807	1.142	0.602	1.044	0.917	0.348	1.093	0.376	0.629	0.89	0.743	1.12	0.984	0.406	1.032	0.433	0.649	0.775	0.975	0.723	0.456	0.167	0.664	0.219	0.475
16.83903	0.976	4.694	8.278	6.954	21.922	0.781	0.97	0.624	0.998	3.691	7.865	7.241	10.466	18.053	1.094	0.706	0.973	3.677	7.771	6.182	10.613	23.718	1.208	0.916	1.093	0.721	0.99	0.999	0.375	1.119	0.376	0.632	0.763	0.855	1.2	1.144	0.458	1.056	0.432	0.784	0.72	1.005	0.508	0.456	0.139	0.636	0.325	0.607
17.00575	0.909	5.085	8.727	7.158	22.461	0.603	0.981	0.554	0.876	3.868	8.368	7.205	10.97	19.21	1.025	0.69	1.039	4.018	8.192	6.225	11.333	25.255	1.22	0.767	1.054	0.739	1.002	1.092	0.44	0.97	0.388	0.646	0.779	0.708	0.996	0.913	0.361	0.986	0.389	0.554	0.813	1.018	0.493	0.495	0.07	0.62	0.229	0.457
17.17247	0.999	5.23	8.955	7.251	22.051	0.691	1.042	0.561	0.966	4.149	8.544	7.515	11.685	20.604	1.115	0.644	0.887	4.059	8.582	6.641	11.941	26.598	1.391	0.857	1.118	0.698	1.038	1.021	0.395	1.221	0.424	0.683	0.871	0.88	1.059	1.03	0.477	0.994	0.533	0.617	0.849	1.028	0.529	0.423	0.16	0.629	0.265	0.627
17.33909	1.016	5.761	9.409	7.595	21.788	0.704	1.082	0.574	0.901	4.303	8.999	7.888	12.547	21.07	1.129	0.711	0.984	4.38	8.956	6.716	12.884	27.689	1.191	0.711	1.297	0.693	1.026	1.118	0.302	1.155	0.412	0.699	0.972	0.871	1.181	1.125	0.491	1.116	0.412	0.578	0.863	0.991	0.624	0.573	0.174	0.724	0.279	0.479
17.50594	0.976	6.066	10.027	7.842	22.029	0.7	0.97	0.651	1.106	4.66	9.345	8.264	13.56	23.139	1.121	0.68	0.946	4.834	9.466	7.017	13.492	29.262	1.154	0.97	1.12	0.748	1.017	1.16	0.375	1.2	0.376	0.794	0.817	0.855	1.039	1.144	0.511	1.083	0.62	0.596	0.828	1.032	0.589	0.483	0.193	0.77	0.325	0.661
17.67246	0.959	6.481	10.795	8.151	22.212	0.519	0.978	0.632	0.927	4.806	9.979	8.493	14.411	24.373	1.184	0.687	1.063	5.091	9.884	7.191	14.397	30.741	1.298	0.979	1.292	0.896	0.999	1.089	0.384	1.236	0.466	0.804	0.829	0.839	1.047	1.072	0.601	1.01	0.548	0.632	0.81	1.095	0.49	0.546	0.148	0.617	0.307	0.535
17.83915	1.041	7.284	11.079	8.574	22.64	0.769	1.011	0.638	1.09	5.474	10.073	8.994	14.877	25.764	1.026	0.774	0.957	5.294	10.169	7.56	15.481	31.398	1.353	0.954	1.103	0.619	1.002	1.01	0.36	1.266	0.442	0.804	0.878	0.811	1.024	0.996	0.524	1.043	0.525	0.608	0.894	1.069	0.493	0.549	0.259	0.676	0.392	0.593
18.00587	1.138	7.385	11.212	8.676	22.675	0.512	0.89	0.624	0.917	5.36	10.798	9.098	16.117	26.907	1.121	0.706	1.027	5.668	10.839	7.77	16.049	31.791	1.234	0.808	1.255	0.829	1.071	1.026	0.375	1.119	0.322	0.74	0.844	0.909	1.066	1.064	0.592	0.975	0.54	0.596	0.828	1.032	0.589	0.456	0.301	0.69	0.298	0.661
18.17249	1.094	7.875	11.913	9.381	23.017	0.769	1.038	0.692	0.982	5.931	10.933	9.827	17.162	28.049	1.16	0.666	1.037	6.047	11.056	7.829	17.121	32.258	1.219	0.712	1.398	0.861	1.136	1.09	0.36	1.186	0.442	0.723	0.905	0.811	1.105	1.049	0.497	1.07	0.579	0.661	0.867	1.149	0.574	0.549	0.178	0.729	0.365	0.593
18.3392	1.144	8.692	12.447	9.555	23.527	0.779	1.077	0.65	0.949	6.317	11.713	10.224	18.253	29.28	1.285	0.733	1.005	6.608	11.724	8.218	18.4	32.877	1.346	1.001	1.398	0.846	1.047	1.139	0.404	1.257	0.514	0.747	0.856	0.81	1.23	1.173	0.566	1.164	0.568	0.734	0.831	1.146	0.618	0.513	0.249	0.799	0.327	0.635
18.50598	1.11	8.988	12.991	9.825	23.327	0.795	0.985	0.693	1.049	6.829	11.961	10.551	19.317	30.142	1.168	0.749	1.024	6.693	12.321	8.811	19.33	33.364	1.284	0.723	1.258	0.818	1.119	1.212	0.395	1.193	0.505	0.794	0.825	0.994	1.193	1.055	0.583	1.045	0.585	0.644	0.767	1.058	0.609	0.666	0.267	0.816	0.29	0.571
18.67262	1.019	9.622	13.434	10.405	23.9	0.733	1.004	0.604	0.959	7.167	13.024	10.644	21.132	31.195	1.159	0.768	1.014	7.136	12.899	8.797	20.875	33.417	1.275	0.849	1.247	0.805	0.948	1.067	0.332	1.265	0.361	0.703	0.814	0.821	1.077	1.128	0.548	1.118	0.577	0.716	0.758	1.156	0.519	0.603	0.258	0.727	0.444	0.644
18.83924	1.03	9.995	14.199	10.775	24.182	0.512	1.051	0.732	0.944	7.324	13.57	11.143	21.768	31.643	1.094	0.733	1.107	7.713	12.991	9.331	22.023	33.917	1.369	0.97	1.416	0.964	1.017	1.187	0.375	1.362	0.403	0.74	0.979	0.855	1.039	1.064	0.511	1.056	0.54	0.703	0.801	1.166	0.562	0.537	0.139	0.69	0.379	0.661
19.00591	1.121	10.698	14.01	11.397	24.764	0.769	1.038	0.531	0.982	7.974	13.568	11.79	23.319	31.813	1.187	0.693	1.01	8.09	13.691	9.308	22.955	34.382	1.353	0.9	1.318	0.727	1.056	1.144	0.333	1.293	0.549	0.616	0.825	0.811	1.024	1.13	0.497	1.15	0.579	0.608	0.706	1.149	0.655	0.468	0.286	0.729	0.284	0.674
19.17256	1.101	11.341	15.185	11.529	24.451	0.592	1.265	0.623	0.963	8.859	14.5	12.322	23.355	31.919	1.223	0.705	1.072	8.701	14.168	10.167	24.066	35.159	1.281	0.882	1.377	0.996	1.064	1.152	0.477	1.49	0.451	0.623	0.855	0.951	1.114	1.22	0.561	1.188	0.589	0.67	0.93	1.076	0.556	0.504	0.268	0.82	0.509	0.657
19.33931	1.181	12.212	16.644	12.428	24.709	0.652	1.301	0.739	1.12	9.217	14.912	12.964	23.533	32.463	1.24	0.714	1.095	9.268	15.084	10.497	24.166	35.629	1.41	0.93	1.409	1.021	1.137	1.121	0.467	1.481	0.415	0.784	0.949	0.983	1.265	1.101	0.575	1.199	0.712	0.824	0.92	1.21	0.546	0.603	0.258	0.862	0.363	0.725
19.50599	1.189	12.64	16.835	12.828	24.788	0.597	1.109	0.682	1.077	9.863	16.097	13.568	22.564	32.985	1.229	0.602	1.105	9.68	15.71	10.982	24.161	36.064	1.448	0.861	1.545	1.005	1.124	1.131	0.509	1.442	0.457	0.844	0.89	0.985	1.174	1.118	0.513	1.139	0.756	0.73	0.882	1.324	0.562	0.671	0.193	0.798	0.353	0.582
19.67256	1.159	13.936	17.023	13.265	25.527	0.709	1.166	0.658	1.129	10.113	16.845	14.054	22.472	33.411	1.31	0.82	1.13	10.513	16.006	11.018	23.638	36.541	1.34	0.78	1.459	0.966	1.124	1.183	0.483	1.55	0.43	0.653	1.096	1.006	1.067	1.173	0.568	1.276	0.622	0.703	0.909	1.213	0.589	0.51	0.301	0.88	0.408	0.611
19.8393	1.094	14.569	18.204	14.327	25.329	0.58	1.2	0.638	1.143	11.039	16.794	14.962	22.593	33.802	1.16	0.613	1.118	10.671	16.863	11.566	23.627	36.748	1.3	0.9	1.479	0.888	1.163	1.252	0.333	1.454	0.549	0.696	0.905	0.972	1.132	1.211	0.605	1.312	0.687	0.85	0.948	1.23	0.628	0.549	0.205	0.891	0.365	0.674
20.00596	1.141	15.84	19.183	15.221	25.212	0.676	1.269	0.708	1.19	11.393	17.666	15.616	22.529	34.236	1.339	0.817	1.137	11.326	17.761	12.162	23.618	37.318	1.318	0.973	1.447	0.968	1.074	1.164	0.512	1.607	0.487	0.905	0.929	1.074	1.122	1.066	0.595	1.22	0.515	0.76	0.885	1.169	0.565	0.486	0.277	0.773	0.382	0.583
20.17254	1.148	16.989	19.978	15.671	25.571	0.769	1.092	0.638	1.143	12.168	19.375	16.333	22.512	34.528	1.321	0.774	1.252	12.633	18.18	12.642	23.708	37.823	1.3	0.9	1.479	0.969	1.056	1.171	0.441	1.535	0.523	0.777	0.905	0.972	1.105	1.13	0.659	1.312	0.606	0.903	0.733	1.338	0.574	0.63	0.34	0.837	0.365	0.728
20.33929	1.303	18.047	20.502	16.728	25.724	0.676	1.108	0.708	1.163	13.519	19.47	16.962	22.852	34.936	1.447	0.817	1.353	12.752	19.564	13.184	23.295	38.556	1.238	0.919	1.528	1.049	1.155	1.325	0.378	1.553	0.487	0.743	0.848	0.994	1.203	1.389	0.703	1.247	0.596	0.707	0.831	1.277	0.646	0.648	0.304	0.908	0.328	0.745
20.50598	1.313	18.873	21.788	17.419	26.016	0.603	1.223	0.635	1.092	13.617	19.652	18.328	22.793	35.315	1.375	0.636	1.201	14.199	19.665	13.901	23.694	39.017	1.247	0.929	1.592	1.008	1.271	1.2	0.36	1.616	0.415	0.673	0.86	1.004	1.212	1.102	0.603	1.309	0.632	0.716	0.813	1.18	0.52	0.549	0.286	0.782	0.337	0.619
20.67267	1.158	19.64	22.718	18.105	26.193	0.716	1.282	0.774	1.179	14.706	21.175	19.014	23.104	35.873	1.462	0.83	1.288	14.508	21.214	14.531	24.059	39.604	1.388	0.827	1.626	1.017	1.197	1.287	0.473	1.541	0.556	0.733	0.948	1.039	1.218	1.027	0.717	1.396	0.637	0.641	0.684	1.267	0.445	0.555	0.318	0.841	0.342	0.705
20.83935	1.343	20.873	23.632	19.335	26.139	0.706	1.166	0.604	1.228	15.611	21.954	19.952	23.209	36.294	1.402	0.822	1.338	15.958	21.991	15.191	24.247	40.162	1.356	0.849	1.652	1.021	1.191	1.31	0.467	1.805	0.604	0.703	0.976	1.037	1.103	1.263	0.791	1.415	0.55	0.878	0.866	1.372	0.6	0.576	0.312	0.943	0.444	0.617
21.00607	1.265	20.717	25.043	20.448	26.416	0.79	1.303	0.66	1.205	16.696	22.474	21.2	23.486	36.87	1.459	0.851	1.341	16.154	22.781	16.115	23.877	40.577	1.251	0.798	1.655	1.133	1.059	1.448	0.551	1.673	0.499	0.841	1.06	1.067	1.16	1.266	0.794	1.445	0.58	0.881	0.842	1.294	0.549	0.579	0.342	0.946	0.42	0.647
21.17267	1.218	23.322	24.707	21.622	26.594	0.66	1.066	0.774	1.319	17.762	23.812	21.97	23.906	37.431	1.384	0.857	1.402	17.545	24.334	16.855	24.27	40.976	1.365	0.885	1.582	1.115	1.065	1.401	0.503	1.841	0.451	0.875	1.041	1.21	1.193	1.19	0.745	1.423	0.585	0.833	0.713	1.382	0.555	0.504	0.24	0.978	0.425	0.706
21.33937	1.269	24.174	25.339	22.261	26.686	0.691	1.15	0.669	1.263	18.862	24.065	23.171	24.0	37.716	1.492	0.725	1.453	17.803	24.616	17.798	24.66	41.5	1.337	0.992	1.684	1.156	1.2	1.372	0.476	1.787	0.505	0.764	0.925	1.123	1.248	1.164	0.827	1.506	0.533	0.725	0.903	1.27	0.502	0.639	0.294	0.871	0.426	0.627
21.50607	1.275	25.294	25.84	23.569	26.863	0.723	1.29	0.594	1.404	19.792	24.512	24.157	23.988	38.437	1.444	0.811	1.487	19.704	24.55	18.646	25.052	42.034	1.559	0.998	1.772	1.165	1.26	1.432	0.536	2.035	0.565	0.77	1.041	1.184	1.173	1.278	0.779	1.512	0.646	0.785	0.774	1.304	0.588	0.51	0.3	0.931	0.351	0.714
21.67277	1.302	27.11	25.741	24.086	27.223	0.743	1.23	0.695	1.349	21.036	25.224	24.759	24.238	38.764	1.522	0.778	1.513	20.766	25.962	19.588	24.791	42.31	1.503	0.78	1.747	1.227	1.122	1.539	0.587	1.979	0.427	0.716	1.126	1.213	1.277	1.301	0.856	1.507	0.75	0.836	0.932	1.331	0.639	0.615	0.27	0.954	0.347	0.655
21.83945	1.339	29.066	26.025	24.615	27.048	0.785	1.163	0.601	1.387	22.483	25.696	25.555	24.065	39.197	1.507	1.089	1.497	21.427	25.841	20.634	25.184	42.957	1.568	1.088	1.783	1.259	1.215	1.523	0.572	2.126	0.493	0.753	1.187	1.195	1.262	1.287	0.869	1.601	0.655	0.713	0.944	1.368	0.597	0.6	0.417	1.021	0.441	0.533
22.00604	1.265	30.929	26.329	25.406	27.055	0.877	1.309	0.667	1.394	23.247	26.159	25.481	24.074	40.049	1.57	0.803	1.531	22.483	25.713	21.402	25.299	42.998	1.415	0.989	1.707	1.071	1.17	1.53	0.554	2.026	0.583	0.76	1.002	1.173	1.137	1.269	0.825	1.638	0.611	0.695	0.846	1.213	0.526	0.555	0.157	0.841	0.477	0.543
22.17275	1.353	31.961	25.895	25.428	27.269	0.741	1.39	0.747	1.4	24.646	26.376	26.289	24.338	40.346	1.6	0.911	1.564	24.294	25.954	22.335	25.269	43.703	1.5	0.966	1.879	1.277	1.227	1.698	0.557	2.084	0.586	0.875	1.149	1.156	1.166	1.136	0.961	1.747	0.747	0.887	1.091	1.382	0.636	0.693	0.321	0.978	0.452	0.625
