	MG1655-1	OCTA1-9_1	OCTA2-14_1	OCTA5-4_1	OCTA7-2_1	stfE-1	gtrS-1	rlmH-1	MG1655-2	OCTA1-9_2	OCTA2-14_2	OCTA5-4_2	OCTA7-2_2	stfE-2	gtrS-2	rlmH-2	MG1655-3	OCTA1-9_3	OCTA2-14_3	OCTA5-4_3	OCTA7-2_3	stfE-3	gtrS-3	rlmH-3
22.33975	0.823	0.539	0.512	2.048	4.482	1.515	1.002	1.681	0.462	0.547	0.456	1.158	4.779	4.662	1.328	2.518	0.482	0.206	0.267	0.867	12.382	3.457	3.358	1.717
22.50639	0.684	0.343	0.43	2.112	5.007	1.517	1.119	1.509	0.411	0.405	0.487	1.19	5.16	4.613	1.36	2.466	0.554	0.238	0.241	0.899	13.75	3.661	3.538	1.749
22.67303	0.708	0.482	0.341	2.505	5.339	1.601	1.203	1.766	0.519	0.547	0.484	1.358	5.751	4.891	1.585	2.747	0.653	0.178	0.21	0.981	14.611	3.886	3.701	1.917
22.83968	0.765	0.424	0.37	2.758	5.903	1.717	1.118	1.883	0.516	0.519	0.514	1.444	5.887	5.115	1.442	2.746	0.643	0.264	0.268	1.009	15.932	4.199	3.668	1.975
23.00643	0.651	0.568	0.512	2.791	6.311	1.773	1.06	1.909	0.462	0.547	0.399	1.558	6.351	5.205	1.585	2.861	0.51	0.206	0.267	1.124	16.698	4.4	3.787	2.146
23.17309	0.88	0.368	0.255	3.048	6.997	1.944	1.203	1.938	0.462	0.346	0.37	1.558	6.808	5.577	1.413	3.033	0.653	0.264	0.21	1.21	18.156	4.6	4.13	2.175
23.33972	0.905	0.364	0.48	3.33	7.707	2.055	1.142	2.02	0.629	0.457	0.452	1.612	7.404	5.687	1.638	3.115	0.563	0.117	0.207	1.235	19.92	4.654	4.125	2.485
23.50651	0.775	0.349	0.352	3.735	7.819	2.156	1.244	2.351	0.468	0.474	0.497	1.768	7.861	6.12	1.595	3.496	0.532	0.218	0.251	1.333	21.287	5.064	4.189	2.471
23.67316	0.843	0.446	0.562	4.062	8.547	2.28	1.226	2.333	0.508	0.427	0.45	2.007	8.36	6.162	1.606	3.537	0.547	0.314	0.262	1.373	22.793	5.418	4.287	2.738
23.83993	0.846	0.591	0.452	4.287	9.08	2.426	1.145	2.594	0.595	0.66	0.398	2.18	8.981	6.587	1.58	3.623	0.598	0.204	0.238	1.603	24.675	5.617	4.429	2.883
24.0065	0.906	0.395	0.455	4.776	9.684	2.601	1.319	2.597	0.57	0.407	0.515	2.44	9.527	6.478	1.669	3.855	0.603	0.406	0.241	1.636	26.278	5.878	4.746	2.916
24.17316	0.902	0.42	0.509	5.142	10.846	2.768	1.544	2.708	0.68	0.66	0.512	2.551	10.006	6.844	1.837	4.022	0.855	0.289	0.209	1.803	27.552	6.073	4.856	3.425
24.33985	0.88	0.654	0.402	5.598	11.268	2.661	1.438	2.772	0.571	0.469	0.491	2.67	10.573	7.073	1.9	4.368	0.569	0.268	0.189	1.922	28.864	6.304	4.83	3.402
24.50649	0.909	0.541	0.601	5.996	11.808	2.945	1.381	3.085	0.827	0.554	0.634	3.182	10.914	7.158	1.758	4.567	0.74	0.268	0.303	2.093	30.087	6.503	5.058	3.544
24.67319	0.961	0.451	0.541	6.464	12.722	3.083	1.435	3.337	0.678	0.438	0.688	3.26	11.206	7.287	1.952	4.7	0.61	0.35	0.187	2.144	31.991	6.891	5.217	3.794
24.83984	1.014	0.588	0.477	7.085	13.481	3.221	1.425	3.445	0.679	0.57	0.507	3.462	11.84	7.56	1.805	4.849	0.69	0.257	0.176	2.314	33.29	7.129	5.257	3.879
25.00663	0.99	0.45	0.594	7.788	14.051	3.284	1.542	3.649	0.658	0.772	0.624	3.841	12.291	7.887	1.924	5.229	0.734	0.346	0.292	2.606	33.809	7.34	5.469	4.2
25.17324	0.954	0.357	0.416	8.034	15.21	3.533	1.507	3.899	0.707	0.451	0.474	4.176	12.908	7.964	2.088	5.278	0.753	0.424	0.257	2.77	35.188	7.645	5.602	4.335
25.33992	0.972	0.432	0.491	9.018	16.332	3.522	1.439	4.002	0.809	0.583	0.55	4.42	13.233	8.092	2.105	5.522	0.909	0.271	0.247	3.043	36.642	7.86	5.789	4.608
25.50665	1.021	0.282	0.37	9.521	17.232	3.8	1.66	4.166	0.801	0.434	0.457	4.954	13.792	8.111	2.041	5.856	0.643	0.321	0.268	3.406	38.018	8.108	6.008	4.686
25.67336	1.097	0.558	0.42	10.388	18.017	3.787	1.683	4.269	0.73	0.459	0.652	5.103	13.911	8.31	2.002	6.061	0.867	0.2	0.207	3.588	37.963	8.452	5.926	5.068
25.83986	1.046	0.707	0.314	11.234	19.622	4.219	1.606	4.587	0.877	0.524	0.688	5.616	14.528	8.679	2.321	6.177	0.838	0.179	0.358	4.046	39.487	8.425	6.325	5.384
26.00667	1.028	0.518	0.722	11.772	20.861	4.227	1.645	4.823	0.914	0.507	0.444	6.275	14.895	8.739	2.16	6.41	1.097	0.247	0.227	4.195	40.14	8.884	6.245	5.59
26.17328	1.137	0.429	0.52	12.958	21.647	4.309	1.783	4.961	0.91	0.503	0.61	6.809	15.37	8.905	2.242	6.717	1.007	0.3	0.252	4.616	41.348	9.049	6.41	6.209
26.34	1.209	0.33	0.619	13.749	23.609	4.495	1.882	5.289	0.954	0.602	0.511	7.254	15.878	9.01	2.257	6.821	1.055	0.343	0.351	4.946	41.735	9.295	6.514	6.057
26.50666	1.216	0.451	0.541	14.954	24.732	4.588	1.861	5.325	1.047	0.438	0.546	7.803	16.203	9.076	2.349	7.057	0.923	0.264	0.358	5.523	42.269	9.475	6.864	6.406
26.67332	1.163	0.54	0.63	16.239	25.593	4.933	1.95	5.783	1.222	0.499	0.521	8.319	16.38	9.081	2.524	7.317	1.041	0.353	0.361	6.209	43.673	9.594	6.897	6.581
26.84007	1.175	0.608	0.47	17.055	26.898	4.803	1.818	5.71	1.205	0.679	0.616	9.329	16.883	9.579	2.507	7.445	1.056	0.335	0.258	6.592	44.05	10.035	7.053	7.134
27.00669	1.317	0.522	0.669	18.305	27.693	5.03	1.96	6.165	1.234	0.821	0.616	10.011	16.968	9.352	2.62	7.729	1.056	0.364	0.343	7.303	44.988	9.949	7.224	7.305
27.17346	1.279	0.569	0.658	19.537	29.218	4.994	1.978	6.271	1.339	0.81	0.662	10.663	17.4	9.519	2.639	7.81	1.252	0.353	0.36	7.725	45.506	10.344	7.362	7.697
27.3401	1.523	0.473	0.591	20.509	30.469	5.209	1.967	6.856	1.299	0.686	0.794	11.358	17.778	9.76	2.6	7.909	1.237	0.428	0.264	8.535	45.212	10.67	7.433	7.911
27.50671	1.472	0.733	0.537	21.462	31.268	5.303	2.028	6.98	1.364	0.631	0.512	13.004	17.925	9.891	2.719	8.294	1.282	0.289	0.295	9.009	46.635	10.887	7.619	8.381
27.67348	1.569	0.519	0.495	22.702	32.088	5.31	2.241	7.383	1.571	0.505	0.556	13.244	18.354	10.114	2.872	8.492	1.335	0.417	0.339	9.77	46.652	10.797	7.844	8.607
27.84016	1.489	0.61	0.616	23.39	33.05	5.285	2.333	7.441	1.603	0.57	0.677	14.286	18.681	10.338	2.849	8.49	1.39	0.339	0.347	10.39	46.746	11.135	7.843	8.663
28.00682	1.778	0.555	0.53	24.72	33.384	5.523	2.391	7.996	1.612	0.738	0.59	15.098	18.879	10.023	2.826	9.053	1.557	0.282	0.317	11.418	47.549	11.133	8.065	9.197
28.17342	1.647	0.68	0.512	25.288	34.269	5.735	2.174	8.01	1.795	0.72	0.601	16.058	19.156	10.523	2.923	8.812	1.486	0.236	0.384	12.062	47.616	11.49	8.194	9.383
28.34007	1.678	0.424	0.741	26.614	35.009	5.911	2.203	8.446	1.657	0.605	0.6	16.939	19.213	10.651	3.04	9.138	1.613	0.349	0.268	12.709	47.521	11.275	8.405	9.594
28.50672	1.983	0.643	0.73	26.83	36.005	5.761	2.449	8.698	1.878	0.622	0.56	18.001	19.792	10.42	3.145	9.163	1.638	0.424	0.257	13.853	47.643	11.759	8.488	9.905
28.6735	1.88	0.539	0.512	27.858	36.409	5.774	2.346	9.112	1.891	0.718	0.656	19.423	19.871	10.55	3.071	9.35	1.739	0.464	0.267	14.501	48.082	11.86	8.503	10.092
28.84022	2.075	0.504	0.62	28.458	37.305	6.029	2.568	9.227	1.859	0.739	0.591	20.87	20.172	10.754	3.295	9.409	1.77	0.485	0.288	15.427	48.591	11.978	8.734	10.639
29.00683	2.0	0.577	0.78	28.877	38.177	6.089	2.555	10.076	1.893	0.673	0.697	22.007	20.575	10.539	3.277	9.739	1.587	0.246	0.308	16.299	48.596	12.019	8.722	10.766
29.17348	2.199	0.517	0.577	29.487	38.485	6.32	2.667	10.083	2.037	0.697	0.607	22.405	20.884	10.947	3.304	9.776	1.966	0.414	0.418	17.86	48.66	12.399	8.958	11.117
29.34031	2.126	0.588	0.79	30.104	38.753	6.216	2.652	10.262	2.163	0.741	0.764	23.742	20.882	11.125	3.46	9.983	1.859	0.399	0.347	18.772	48.436	12.406	8.937	10.982
29.50689	2.133	0.564	0.566	30.907	40.142	6.313	2.714	10.765	2.229	0.915	0.652	24.617	21.178	11.06	3.439	10.316	1.991	0.517	0.264	19.867	48.584	12.341	9.155	11.316
29.67358	2.367	0.771	0.659	31.075	40.272	6.401	2.948	11.276	2.261	0.58	0.774	25.536	21.504	11.227	3.472	10.199	2.046	0.496	0.243	20.878	48.647	12.565	9.295	11.797
29.84025	2.153	0.562	0.68	31.521	39.521	6.606	2.881	11.609	2.298	0.604	0.74	26.292	21.652	11.386	3.655	10.303	2.095	0.374	0.211	21.848	48.58	12.552	9.343	12.38
30.00692	2.379	0.699	0.73	32.176	40.852	6.526	2.905	11.797	2.443	0.794	0.789	27.185	22.101	11.89	3.655	10.263	2.196	0.652	0.344	23.271	49.107	12.914	9.588	12.145
30.17365	2.456	0.546	0.805	32.227	41.111	6.548	2.924	12.623	2.636	0.697	0.692	28.029	22.282	11.86	3.932	10.546	2.222	0.414	0.361	24.197	49.088	13.113	9.643	12.573
30.34021	2.554	0.759	0.79	32.557	41.52	6.73	3.023	12.601	2.448	0.855	0.678	28.106	22.451	11.781	3.916	10.81	2.202	0.342	0.319	25.276	49.349	12.834	9.793	12.493
30.50695	2.566	0.628	0.83	33.13	41.613	6.772	3.034	13.217	2.603	0.665	0.803	29.161	22.817	11.855	3.928	10.798	2.36	0.267	0.329	25.844	49.018	12.936	9.866	12.653
30.67359	2.88	0.688	0.805	33.314	42.128	7.054	3.264	13.463	2.687	0.67	0.693	29.637	23.132	11.759	4.099	10.903	2.323	0.385	0.334	26.98	49.01	13.068	9.914	13.326
30.84025	2.905	0.71	0.798	33.833	42.4	6.682	3.23	14.01	2.713	0.862	0.799	30.75	23.266	11.792	4.095	10.907	2.526	0.521	0.268	27.662	49.376	13.216	9.975	13.304
31.00693	2.909	0.745	0.691	33.969	42.356	6.712	3.207	14.204	2.915	0.87	0.836	30.692	23.816	12.044	4.156	11.33	2.409	0.385	0.334	29.032	49.523	13.154	10.085	13.924
31.17375	2.746	0.729	0.761	34.297	42.637	6.943	3.332	14.844	2.777	0.743	0.737	31.173	23.748	11.977	4.391	11.321	2.687	0.456	0.207	29.345	48.851	13.257	10.02	14.194
31.3403	2.843	0.825	0.687	34.898	42.673	7.184	3.571	15.46	2.79	0.839	0.747	32.084	24.369	12.193	4.318	11.252	2.646	0.382	0.474	30.056	49.602	13.644	10.263	14.325
31.50693	2.913	0.691	0.78	35.149	42.909	7.002	3.467	16.005	2.862	0.873	0.754	32.212	24.736	12.335	4.445	11.478	2.613	0.474	0.308	31.037	49.109	13.615	10.375	14.757
31.67367	3.055	0.637	0.669	35.073	42.881	7.141	3.497	16.389	3.003	0.82	0.758	32.797	24.593	12.381	4.473	11.582	2.548	0.364	0.455	31.793	49.301	13.661	10.451	14.543
31.84032	2.957	0.825	0.886	35.439	43.185	7.099	3.429	17.11	3.075	0.725	0.804	32.767	25.223	12.705	4.488	11.707	2.816	0.552	0.36	32.304	49.261	13.644	10.605	14.581
32.007	2.908	0.721	0.754	35.498	43.664	7.19	3.665	17.93	2.882	0.907	0.815	33.54	25.38	12.591	4.496	11.509	2.875	0.534	0.286	32.793	49.592	13.757	10.634	14.977
32.17367	3.107	0.636	0.64	35.697	43.692	7.161	3.779	18.47	3.024	0.992	0.645	33.427	25.635	12.762	4.581	11.793	2.847	0.364	0.258	33.106	50.189	13.956	10.805	15.432
32.34044	3.237	0.682	0.8	36.317	43.74	7.545	3.853	18.819	3.068	0.868	0.776	34.219	26.121	12.858	4.71	11.833	2.944	0.41	0.333	34.239	49.637	13.768	10.703	14.987
32.50704	2.997	0.926	0.704	36.511	44.242	7.673	3.926	19.366	3.282	0.857	0.624	34.415	25.925	13.011	4.868	12.1	2.843	0.343	0.436	34.633	49.852	14.064	10.856	15.11
32.67369	3.286	0.558	0.505	36.571	44.257	7.398	4.043	20.132	3.147	0.885	0.822	34.613	26.107	12.944	4.902	12.06	3.056	0.456	0.435	35.145	49.562	14.053	10.929	15.643
32.84035	3.39	0.667	1.013	36.812	44.741	7.584	4.007	21.005	3.107	0.939	0.791	35.228	26.655	13.318	5.062	12.236	3.008	0.509	0.347	35.446	49.441	14.54	11.106	15.899
33.00703	3.334	0.807	0.669	37.004	44.488	7.474	4.291	21.766	3.223	0.878	0.929	34.904	26.801	13.018	5.149	12.134	3.102	0.335	0.343	36.146	49.705	14.468	11.231	15.517
33.17377	3.228	0.734	0.683	37.21	44.309	7.504	4.129	22.273	3.198	0.95	0.774	35.43	27.235	13.204	5.041	12.406	2.953	0.463	0.302	36.384	49.687	14.341	11.248	16.207
33.34037	3.249	0.892	1.124	37.629	45.085	7.559	4.376	23.414	3.252	1.162	0.815	35.558	27.483	13.444	5.32	12.304	3.102	0.506	0.343	37.198	49.279	14.922	11.344	16.37
33.50708	3.543	0.755	0.787	38.101	44.658	7.829	4.355	24.367	3.434	0.824	0.676	35.882	27.676	13.44	5.303	12.527	3.094	0.367	0.317	37.298	49.997	14.549	11.31	16.115
33.67378	3.293	1.025	0.832	37.771	44.901	7.797	4.449	24.783	3.349	0.929	0.781	35.792	27.82	13.612	5.588	12.956	3.247	0.555	0.394	37.512	49.657	14.608	11.458	16.929
33.84037	3.606	0.852	0.829	38.305	44.819	7.886	4.563	25.947	3.295	1.038	0.833	36.151	28.081	14.051	5.534	12.401	3.256	0.751	0.361	38.215	49.665	14.478	11.498	16.634
34.00724	3.321	0.741	1.002	38.225	45.072	7.938	4.676	26.797	3.349	0.929	0.781	36.756	28.188	13.867	5.503	12.673	3.304	0.414	0.337	38.476	49.401	14.778	11.628	16.787
34.17386	3.492	0.881	0.942	38.589	44.905	7.971	4.818	27.964	3.465	0.953	0.776	36.832	28.166	14.335	5.591	12.884	3.171	0.524	0.418	38.641	49.381	14.649	11.697	17.06
34.34047	3.655	0.956	0.648	38.363	45.224	8.279	4.754	29.4	3.26	0.999	0.652	37.228	28.637	14.365	5.897	12.998	3.625	0.627	0.378	39.096	49.221	14.849	11.868	17.349
34.50726	3.58	0.83	0.779	38.69	44.659	7.886	4.992	29.784	3.467	0.847	0.869	37.221	29.247	14.27	5.904	13.076	3.309	0.502	0.482	39.537	49.585	14.925	11.974	17.106
34.67384	3.704	0.721	0.925	39.505	45.284	7.985	4.831	30.945	3.394	1.077	0.787	37.405	29.188	14.467	5.974	13.356	3.301	0.591	0.343	39.471	49.592	15.15	12.026	17.194
34.84055	3.58	0.762	0.993	39.235	45.31	8.151	5.218	31.389	3.614	1.116	1.138	37.954	29.26	14.391	6.109	13.336	3.418	0.488	0.38	40.197	49.512	15.387	12.005	17.58
35.00725	3.48	0.955	0.648	39.576	44.838	8.326	5.232	31.911	3.367	0.971	0.823	37.821	29.473	14.856	6.202	13.093	3.439	0.598	0.408	40.253	49.966	15.284	12.077	17.92
35.17383	3.634	0.881	0.8	39.867	45.444	8.341	5.443	32.933	3.38	0.783	0.72	38.082	29.643	15.017	6.244	13.366	3.455	0.524	0.418	41.084	50.148	15.614	12.179	18.026
35.34051	3.751	0.858	1.176	39.995	45.68	8.312	5.673	33.669	3.438	1.017	0.869	37.873	29.786	14.923	6.443	13.671	3.508	0.559	0.482	41.154	50.01	15.975	12.315	18.269
35.50717	3.81	0.893	1.069	40.009	45.547	8.425	5.732	34.347	3.581	0.997	0.877	38.373	30.098	15.254	6.501	13.805	3.645	0.481	0.377	41.451	49.987	15.456	12.393	18.312
35.67399	3.759	0.922	0.984	40.132	45.649	8.378	5.766	34.711	3.731	0.939	0.819	38.378	30.088	15.191	6.623	13.882	3.433	0.481	0.347	41.944	49.583	15.76	12.497	18.453
35.84063	3.751	0.773	1.261	40.25	45.623	8.482	5.758	35.286	3.467	1.102	0.812	38.951	29.899	15.547	6.699	13.927	3.508	0.502	0.426	41.665	49.897	16.145	12.712	18.496
36.00726	3.504	0.837	0.814	40.643	45.11	8.463	6.022	35.505	3.618	1.053	0.99	38.803	30.684	15.815	6.907	13.74	3.604	0.396	0.404	42.143	50.179	16.186	12.695	18.282
36.17393	3.687	0.934	0.853	40.878	45.687	8.62	6.262	36.161	3.631	0.978	0.887	38.837	30.627	16.004	6.892	14.156	3.45	0.435	0.329	42.264	49.453	16.29	12.827	18.558
36.34074	3.725	0.882	1.142	41.128	45.717	8.806	6.274	36.453	3.672	1.095	0.861	38.769	30.628	16.233	7.162	14.04	3.328	0.467	0.531	42.203	50.085	16.062	13.023	19.048
36.50738	3.776	0.881	0.857	41.032	46.097	8.511	6.437	36.427	3.721	1.123	0.805	39.076	30.807	16.351	7.266	14.133	3.597	0.666	0.617	43.242	49.495	16.892	13.06	19.361
36.67408	3.699	0.973	1.177	41.624	46.237	8.634	6.503	37.158	3.844	1.045	0.783	39.297	30.912	16.563	7.39	14.231	3.608	0.616	0.425	43.238	50.26	16.934	13.242	19.602
36.84078	3.9	0.886	0.833	41.225	45.701	8.81	6.705	37.545	3.705	1.24	0.808	39.548	31.235	16.751	7.736	14.643	3.761	0.698	0.477	43.695	50.355	16.58	13.228	19.311
37.0073	3.836	0.933	0.908	41.485	45.709	8.835	7.012	37.399	3.557	1.03	0.854	39.35	31.197	17.154	7.59	14.674	3.589	0.745	0.494	43.387	50.024	17.438	13.258	19.802
37.17405	3.909	0.922	1.039	41.591	45.841	8.991	7.169	37.993	3.771	0.991	0.872	39.913	31.111	17.59	7.86	14.57	3.686	0.705	0.37	44.232	50.041	17.418	13.326	19.695
37.34075	3.844	0.979	0.814	42.26	45.961	9.002	7.214	38.031	3.731	1.053	0.904	39.825	31.365	17.801	7.957	14.762	3.604	0.481	0.433	43.533	49.697	17.633	13.405	19.9
37.5074	3.792	1.04	0.818	42.244	46.116	9.121	7.417	38.041	3.707	1.226	0.965	39.921	31.573	18.007	8.075	14.825	3.496	0.74	0.493	44.312	49.966	17.413	13.723	20.191
37.67413	4.059	0.976	0.927	42.319	45.615	9.037	7.592	38.255	3.63	1.054	0.905	40.121	31.466	17.693	8.132	14.974	3.855	0.764	0.378	43.646	49.625	17.614	13.619	20.096
37.84087	3.915	0.942	0.977	42.902	46.201	9.095	7.932	37.867	3.742	1.103	0.926	40.956	31.835	18.215	8.36	15.096	3.889	0.474	0.398	44.684	49.733	17.908	14.024	20.451
38.00753	4.008	1.091	0.955	42.474	46.255	9.247	8.225	38.256	3.865	1.025	1.103	40.724	31.826	18.455	8.654	15.194	3.843	0.736	0.405	45.077	50.355	18.204	14.036	20.211
38.17413	3.851	0.932	1.165	42.851	46.464	9.205	8.353	38.941	3.878	0.78	1.029	40.504	32.026	18.958	8.839	14.986	3.661	0.577	0.501	45.257	49.885	18.054	14.168	20.771
38.34078	4.008	1.091	0.899	43.296	46.085	9.416	8.792	38.625	3.921	1.337	1.047	40.979	32.28	19.192	9.135	15.222	3.815	0.651	0.462	44.652	49.93	18.318	14.319	20.805
38.50747	3.798	1.24	1.188	43.139	46.02	9.53	8.961	38.611	3.857	1.482	0.993	41.237	32.021	19.397	9.138	15.329	3.767	0.627	0.435	45.55	49.704	18.488	14.511	20.619
38.67416	4.002	1.195	1.342	43.103	46.036	9.782	9.27	39.161	3.803	1.212	0.951	41.463	32.159	19.454	9.19	15.31	3.842	0.725	0.422	45.112	49.997	18.946	14.577	20.672
38.84079	4.165	1.007	0.897	43.641	46.069	9.816	9.674	39.075	4.113	1.447	1.014	41.251	32.392	19.838	9.511	15.481	3.857	0.535	0.455	45.968	49.642	18.614	14.891	21.147
39.00745	4.128	1.121	1.325	43.821	46.528	9.627	10.08	38.541	3.901	1.109	0.99	41.244	32.273	20.383	9.801	15.698	3.944	0.651	0.574	45.576	49.867	19.024	14.937	21.177
39.17418	4.027	1.039	0.872	43.881	46.281	9.879	10.249	38.887	3.947	0.995	1.017	41.007	32.573	20.301	9.972	15.829	3.863	0.709	0.459	45.298	50.253	19.389	15.182	21.353
39.34076	3.981	1.081	1.057	44.001	46.115	9.801	10.654	39.127	4.184	1.237	0.946	41.67	32.477	20.101	10.32	16.116	4.04	0.638	0.445	45.503	50.569	19.134	15.384	21.608
39.50751	4.092	1.324	1.098	43.957	46.276	9.955	10.871	39.337	3.845	1.076	0.928	41.727	32.579	20.668	10.338	16.012	3.975	0.935	0.453	45.634	50.115	19.664	15.622	21.838
39.67437	4.327	0.999	1.117	44.526	46.441	10.176	11.286	38.712	4.018	1.354	0.921	41.512	32.885	20.279	10.752	16.322	3.931	0.613	0.79	45.516	50.469	19.937	15.646	21.587
39.84084	4.336	1.092	1.324	44.58	46.98	9.93	11.581	39.587	3.942	1.589	1.042	41.678	32.819	21.205	11.133	16.25	4.056	0.705	0.541	46.31	49.955	20.35	16.087	21.944
40.00749	4.283	1.039	0.957	44.45	46.452	10.163	11.815	39.599	4.146	1.365	1.017	42.686	33.114	21.668	11.196	16.598	4.318	0.794	0.459	45.782	50.424	20.3	16.036	22.492
40.17433	4.182	1.136	1.31	45.144	46.947	9.922	12.487	39.489	3.818	1.347	1.398	42.153	33.059	21.662	11.697	16.817	4.136	0.663	0.555	45.422	50.465	20.293	16.142	22.003
40.34081	4.29	1.069	1.329	44.781	46.356	10.49	12.715	39.973	4.012	1.793	0.903	42.584	32.995	21.329	11.982	16.565	4.164	0.652	0.572	46.0	50.676	20.785	16.546	22.212
40.50759	4.237	1.11	1.227	45.338	46.855	10.256	12.816	39.383	4.213	1.407	1.288	42.524	32.903	22.377	12.283	17.141	4.296	0.808	0.474	45.645	50.342	21.324	16.636	22.091
40.67432	4.16	1.052	1.34	44.534	47.137	10.249	13.531	39.578	4.425	1.375	1.056	43.163	33.082	22.408	12.456	17.327	4.124	0.663	0.497	46.124	50.488	21.263	16.795	22.207
40.84092	4.119	1.155	1.414	45.465	46.67	10.062	13.685	39.26	4.354	1.308	0.846	42.584	33.308	22.042	12.667	17.307	4.193	0.595	0.344	45.914	50.362	21.298	16.974	22.583
41.00758	4.121	1.104	1.335	45.387	47.047	10.373	14.161	39.023	4.383	1.457	1.224	42.625	33.59	22.566	13.002	17.694	4.244	0.659	0.466	45.979	50.281	21.966	17.189	22.593
41.17423	4.513	1.017	1.135	45.568	46.744	10.218	14.909	38.935	4.26	1.429	0.996	42.67	33.225	23.186	13.238	17.44	4.199	0.801	0.381	46.273	50.144	21.992	17.304	22.645
41.3409	4.481	1.033	1.321	46.579	47.242	10.365	15.269	39.665	4.345	1.557	1.153	43.073	33.687	22.91	13.653	17.692	4.409	0.845	0.422	46.487	50.477	22.766	17.644	22.539
41.50758	4.395	1.147	1.492	46.18	46.957	10.593	15.811	39.523	4.402	1.272	0.953	43.529	33.288	22.939	13.938	17.864	4.181	0.759	0.422	46.344	50.392	22.538	17.844	23.138
41.67434	4.546	1.298	0.987	46.15	47.069	10.547	16.023	39.944	4.411	1.365	1.074	42.926	33.365	23.44	14.349	17.877	4.364	0.824	0.429	46.285	50.59	22.867	18.029	23.182
41.84105	4.268	1.1	1.53	46.198	46.774	10.446	16.589	39.634	4.363	1.25	1.074	43.567	33.475	23.903	14.514	18.304	4.552	0.596	0.543	46.018	49.871	23.471	18.086	23.388
42.00772	4.426	1.145	1.547	45.958	46.906	10.687	16.912	39.772	4.578	1.582	1.178	43.416	33.701	23.422	15.009	18.311	4.478	0.67	0.675	46.493	50.773	23.19	18.807	23.593
42.1744	4.29	1.204	1.291	46.893	46.897	10.673	17.366	39.461	4.759	1.526	1.092	43.658	33.583	24.001	15.175	18.539	4.523	0.7	0.617	46.626	50.539	23.738	18.722	23.428
42.34099	4.303	1.016	1.303	46.818	46.507	10.917	17.529	39.781	4.773	1.594	1.646	43.638	33.871	24.74	15.595	18.904	4.598	0.968	0.456	46.38	50.38	24.649	18.829	23.051
42.50764	4.397	1.231	1.119	47.043	47.163	10.887	17.911	39.487	4.72	1.411	1.006	43.987	33.93	24.193	15.551	18.711	4.364	0.67	0.504	46.664	50.23	24.76	19.263	23.992
42.67432	4.665	1.159	1.532	46.648	47.139	10.866	18.283	39.242	4.73	1.711	1.477	44.45	33.661	24.275	16.124	19.168	4.369	0.77	0.518	46.612	50.176	24.985	19.576	23.532
42.84105	4.66	1.212	1.272	46.863	47.212	10.918	18.989	39.431	4.953	1.65	1.331	43.554	33.822	24.466	16.517	19.417	4.449	0.824	0.515	46.627	50.505	24.863	19.683	23.439
43.00777	4.503	1.052	1.112	47.131	47.166	10.791	19.153	40.007	4.882	1.49	1.228	44.048	33.767	25.176	16.794	19.496	4.466	0.834	0.497	46.838	51.202	25.458	19.962	24.176
43.17444	4.676	1.058	1.603	47.222	47.172	11.187	19.139	39.854	5.024	1.639	1.035	44.457	34.162	25.411	16.924	19.852	4.603	0.756	0.562	46.645	50.635	25.922	20.145	23.757
43.34096	5.151	1.278	1.225	47.508	47.317	11.147	19.637	39.66	5.128	1.603	1.398	44.575	33.942	25.28	17.68	19.837	4.506	0.748	0.555	47.074	50.465	26.162	20.244	23.997
43.50783	4.533	1.4	1.318	47.649	46.887	11.187	20.022	40.481	5.281	1.554	1.32	44.4	33.791	25.411	17.551	19.852	4.746	0.813	0.59	46.759	50.492	26.093	20.601	24.27
43.6744	4.689	1.24	1.186	47.804	46.641	11.317	20.101	39.859	5.381	1.536	1.416	45.065	33.879	25.436	18.028	20.472	4.706	0.852	0.572	46.884	50.077	26.346	20.453	24.323
43.84115	4.597	1.345	1.262	47.643	47.078	11.258	20.595	39.829	5.348	1.582	1.406	44.672	34.158	26.22	18.32	20.767	4.649	0.785	0.589	47.121	50.516	26.388	20.948	24.192
44.00776	4.551	1.073	1.589	47.817	47.567	11.379	21.05	39.87	5.386	1.739	1.306	44.907	34.174	26.328	18.777	20.508	4.854	0.856	0.49	46.868	50.119	27.096	21.174	24.587
44.17439	4.608	1.216	1.589	47.503	47.025	11.408	20.879	40.669	5.671	1.825	1.135	45.078	34.003	26.214	18.777	20.565	4.769	0.827	0.661	47.667	50.433	27.409	21.43	24.502
44.3411	4.854	1.26	1.804	48.214	47.449	11.43	21.422	40.0	5.52	1.468	1.663	45.1	34.244	26.049	18.92	20.709	4.877	0.87	0.447	46.921	50.516	27.387	21.519	24.792
44.50776	4.883	1.26	1.29	48.128	47.677	11.658	21.451	39.658	5.662	1.754	0.978	45.186	34.672	26.705	19.348	21.023	4.706	0.785	0.675	47.435	50.316	27.444	21.89	24.249
44.67445	4.877	1.422	2.195	48.51	47.229	11.285	22.089	40.514	5.973	1.229	1.11	45.45	34.352	26.406	19.585	21.261	4.849	0.803	0.521	47.33	50.641	28.287	21.701	24.633
44.84126	4.892	1.267	1.383	48.384	47.704	11.583	22.066	40.423	5.758	1.247	1.27	45.668	34.436	26.608	19.763	21.496	4.975	0.935	0.596	47.204	50.286	27.804	22.105	24.465
